Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Apollo - mobile,Chrome 75.0.3770.90,,2019-06-18 14:43:20,2019-06-18 15:16:20,33m - 0.562s,FAILED
,,,,,,
Test Cases/COLLECTION PAGE/colour variants,Chrome 75.0.3770.90,,2019-06-18 14:43:20,2019-06-18 14:43:56,36.069s,PASSED
"callTestCase(findTestCase(""CALL - URL""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.90,,2019-06-18 14:43:20,2019-06-18 14:43:32,11.529s,PASSED
delay(2),Chrome 75.0.3770.90,,2019-06-18 14:43:32,2019-06-18 14:43:34,2.008s,PASSED
"click(findTestObject(""APOLLO- Mobile/Burger Menu/Burgermenu""))",Chrome 75.0.3770.90,,2019-06-18 14:43:34,2019-06-18 14:43:34,0.117s,PASSED
delay(2),Chrome 75.0.3770.90,,2019-06-18 14:43:34,2019-06-18 14:43:36,2.004s,PASSED
"click(findTestObject(""APOLLO- Mobile/Burger Menu/Mens chevron""))",Chrome 75.0.3770.90,,2019-06-18 14:43:36,2019-06-18 14:43:36,0.073s,PASSED
delay(2),Chrome 75.0.3770.90,,2019-06-18 14:43:36,2019-06-18 14:43:38,2.002s,PASSED
"click(findTestObject(""APOLLO- Mobile/Burger Menu/Mens - Top Chevron""))",Chrome 75.0.3770.90,,2019-06-18 14:43:38,2019-06-18 14:43:38,0.106s,PASSED
delay(2),Chrome 75.0.3770.90,,2019-06-18 14:43:38,2019-06-18 14:43:40,2.003s,PASSED
"click(findTestObject(""APOLLO- Mobile/Burger Menu/Shirts link""))",Chrome 75.0.3770.90,,2019-06-18 14:43:40,2019-06-18 14:43:42,1.310s,PASSED
delay(2),Chrome 75.0.3770.90,,2019-06-18 14:43:42,2019-06-18 14:43:44,2.007s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Chrome 75.0.3770.90,,2019-06-18 14:43:44,2019-06-18 14:43:44,0.020s,PASSED
delay(2),Chrome 75.0.3770.90,,2019-06-18 14:43:44,2019-06-18 14:43:46,2.002s,PASSED
"scrollToElement(findTestObject(""APOLLO- Mobile/Collection page/Blue shirt product""), 0)",Chrome 75.0.3770.90,,2019-06-18 14:43:46,2019-06-18 14:43:46,0.043s,PASSED
delay(2),Chrome 75.0.3770.90,,2019-06-18 14:43:46,2019-06-18 14:43:48,2.007s,PASSED
"click(findTestObject(""APOLLO- Mobile/Collection page/color variants/red variant""))",Chrome 75.0.3770.90,,2019-06-18 14:43:48,2019-06-18 14:43:48,0.064s,PASSED
delay(2),Chrome 75.0.3770.90,,2019-06-18 14:43:48,2019-06-18 14:43:50,2.011s,PASSED
"click(findTestObject(""APOLLO- Mobile/Collection page/color variants/Purple variant""))",Chrome 75.0.3770.90,,2019-06-18 14:43:50,2019-06-18 14:43:50,0.094s,PASSED
delay(2),Chrome 75.0.3770.90,,2019-06-18 14:43:50,2019-06-18 14:43:52,2.006s,PASSED
"click(findTestObject(""APOLLO- Mobile/Collection page/color variants/green variant""))",Chrome 75.0.3770.90,,2019-06-18 14:43:52,2019-06-18 14:43:52,0.090s,PASSED
delay(2),Chrome 75.0.3770.90,,2019-06-18 14:43:52,2019-06-18 14:43:54,2.007s,PASSED
"click(findTestObject(""APOLLO- Mobile/Collection page/color variants/Blue variant""))",Chrome 75.0.3770.90,,2019-06-18 14:43:54,2019-06-18 14:43:54,0.087s,PASSED
delay(2),Chrome 75.0.3770.90,,2019-06-18 14:43:54,2019-06-18 14:43:56,2.016s,PASSED
"click(findTestObject(""APOLLO- Mobile/Collection page/color variants/Black variant""))",Chrome 75.0.3770.90,,2019-06-18 14:43:56,2019-06-18 14:43:56,0.134s,PASSED
,,,,,,
Test Cases/COLLECTION PAGE/Sort,Chrome 75.0.3770.90,,2019-06-18 14:43:56,2019-06-18 14:45:45,1m - 49.027s,PASSED
"callTestCase(findTestCase(""CALL - URL""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.90,,2019-06-18 14:43:57,2019-06-18 14:44:08,10.870s,PASSED
delay(2),Chrome 75.0.3770.90,,2019-06-18 14:44:08,2019-06-18 14:44:10,2.016s,PASSED
"click(findTestObject(""APOLLO- Mobile/Burger Menu/Burgermenu""))",Chrome 75.0.3770.90,,2019-06-18 14:44:10,2019-06-18 14:44:10,0.135s,PASSED
