Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
1.11.1,Chrome 75.0.3770.100,,2019-07-02 16:14:23,2019-07-02 17:27:04,1h - 12m - 41.611s,FAILED
,,,,,,
Test Cases/OCS- FRENCH/CRITICAL PATH/Cart flyout - decrease qty -fr,Chrome 75.0.3770.100,,2019-07-02 16:14:23,2019-07-02 16:16:20,1m - 57.111s,PASSED
"callTestCase(findTestCase(""OCS - MOBILE/CALL - AGE GATE""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-07-02 16:14:24,2019-07-02 16:14:44,20.634s,PASSED
"callTestCase(findTestCase(""OCS - MOBILE/CALL- TOGGLING LANGUAGE""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-07-02 16:14:44,2019-07-02 16:14:51,6.515s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-07-02 16:14:51,2019-07-02 16:14:53,2.004s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Burger menu - English""))",Chrome 75.0.3770.100,,2019-07-02 16:14:53,2019-07-02 16:14:56,2.646s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-07-02 16:14:56,2019-07-02 16:14:58,2.002s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Chevron_Cannabis""))",Chrome 75.0.3770.100,,2019-07-02 16:14:58,2019-07-02 16:14:58,0.083s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-07-02 16:14:58,2019-07-02 16:15:00,2.002s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Dried Flower_Plus icon""))",Chrome 75.0.3770.100,,2019-07-02 16:15:00,2019-07-02 16:15:00,0.094s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-07-02 16:15:00,2019-07-02 16:15:02,2.003s,PASSED
"click(findTestObject(""OCS- FRENCH/Indica Dominant_Menu item""))",Chrome 75.0.3770.100,,2019-07-02 16:15:02,2019-07-02 16:15:04,2.574s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Chrome 75.0.3770.100,,2019-07-02 16:15:04,2019-07-02 16:15:04,0.010s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-07-02 16:15:04,2019-07-02 16:15:06,2.002s,PASSED
"click(findTestObject(""OCS- FRENCH/Product image - 1st one""))",Chrome 75.0.3770.100,,2019-07-02 16:15:06,2019-07-02 16:15:10,4.144s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Chrome 75.0.3770.100,,2019-07-02 16:15:10,2019-07-02 16:15:10,0.008s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-07-02 16:15:10,2019-07-02 16:15:12,2.007s,PASSED
"click(findTestObject(""OCS-MOBILE /Product page/Swatch_1g""))",Chrome 75.0.3770.100,,2019-07-02 16:15:12,2019-07-02 16:15:13,0.093s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-07-02 16:15:13,2019-07-02 16:15:15,2.004s,PASSED
"click(findTestObject(""OCS-MOBILE /Product page/Quantity Increase - Button""))",Chrome 75.0.3770.100,,2019-07-02 16:15:15,2019-07-02 16:15:15,0.076s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-07-02 16:15:15,2019-07-02 16:15:17,2.006s,PASSED
"click(findTestObject(""OCS-MOBILE /Product page/Quantity Increase - Button""))",Chrome 75.0.3770.100,,2019-07-02 16:15:17,2019-07-02 16:15:17,0.040s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-07-02 16:15:17,2019-07-02 16:15:19,2.002s,PASSED
"click(findTestObject(""OCS-MOBILE /Product page/Quantity Increase - Button""))",Chrome 75.0.3770.100,,2019-07-02 16:15:19,2019-07-02 16:15:19,0.042s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-07-02 16:15:19,2019-07-02 16:15:21,2.014s,PASSED
"click(findTestObject(""OCS-MOBILE /Product page/Quantity Increase - Button""))",Chrome 75.0.3770.100,,2019-07-02 16:15:21,2019-07-02 16:15:21,0.042s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-07-02 16:15:21,2019-07-02 16:15:23,2.010s,PASSED
"click(findTestObject(""OCS-MOBILE /Product page/Quantity Increase - Button""))",Chrome 75.0.3770.100,,2019-07-02 16:15:23,2019-07-02 16:15:23,0.051s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-07-02 16:15:23,2019-07-02 16:15:25,2.003s,PASSED
"click(findTestObject(""OCS-MOBILE /Product page/Add to Bag-button""))",Chrome 75.0.3770.100,,2019-07-02 16:15:25,2019-07-02 16:15:25,0.094s,PASSED
delay(1),Chrome 75.0.3770.100,,2019-07-02 16:15:25,2019-07-02 16:15:26,1.004s,PASSED
"click(findTestObject(""OCS-MOBILE /Home - page/Cart icon -bag""))",Chrome 75.0.3770.100,,2019-07-02 16:15:26,2019-07-02 16:15:26,0.069s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-07-02 16:15:26,2019-07-02 16:15:28,2.006s,PASSED
"click(findTestObject(""OCS-MOBILE /Cart flyout/Quantity decrease - Product""))",Chrome 75.0.3770.100,,2019-07-02 16:15:28,2019-07-02 16:15:28,0.060s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-07-02 16:15:28,2019-07-02 16:15:30,2.003s,PASSED
"a = getText(findTestObject(""OCS-MOBILE /Cart flyout/Unit price - Product""))",Chrome 75.0.3770.100,,2019-07-02 16:15:30,2019-07-02 16:15:30,0.045s,PASSED
comment(a),Chrome 75.0.3770.100,,2019-07-02 16:15:30,2019-07-02 16:15:30,0.005s,PASSED
"a1 = a.substring(0, a.length() - 1)",Chrome 75.0.3770.100,,2019-07-02 16:15:30,2019-07-02 16:15:30,0.003s,PASSED
"comment(""a1 = "" + a1)",Chrome 75.0.3770.100,,2019-07-02 16:15:30,2019-07-02 16:15:30,0.001s,PASSED
"x1 = a1.substring(0, a1.length() - 1)",Chrome 75.0.3770.100,,2019-07-02 16:15:30,2019-07-02 16:15:30,0.002s,PASSED
"comment(""x1 = "" + x1)",Chrome 75.0.3770.100,,2019-07-02 16:15:30,2019-07-02 16:15:30,0.001s,PASSED
"x2 = x1.substring(0, x1.length() - 1)",Chrome 75.0.3770.100,,2019-07-02 16:15:30,2019-07-02 16:15:30,0.001s,PASSED
"comment(""x2 = "" + x2)",Chrome 75.0.3770.100,,2019-07-02 16:15:30,2019-07-02 16:15:30,0.001s,PASSED
"x3 = x2.substring(0, x2.length() - 1)",Chrome 75.0.3770.100,,2019-07-02 16:15:30,2019-07-02 16:15:30,0.000s,PASSED
"comment(""x3 = "" + x3)",Chrome 75.0.3770.100,,2019-07-02 16:15:30,2019-07-02 16:15:30,0.001s,PASSED
"x6 = x3.substring(0, x3.length() - 1)",Chrome 75.0.3770.100,,2019-07-02 16:15:30,2019-07-02 16:15:30,0.001s,PASSED
"comment(""x6 = "" + x6)",Chrome 75.0.3770.100,,2019-07-02 16:15:30,2019-07-02 16:15:30,0.001s,PASSED
"setText(findTestObject(""OCS-MOBILE /Cart flyout/input_-_updates""), ""5"")",Chrome 75.0.3770.100,,2019-07-02 16:15:30,2019-07-02 16:15:30,0.132s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-07-02 16:15:30,2019-07-02 16:15:32,2.003s,PASSED
"setText(findTestObject(""OCS-MOBILE /Cart flyout/input_-_updates""), ""4"")",Chrome 75.0.3770.100,,2019-07-02 16:15:32,2019-07-02 16:15:32,0.087s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-07-02 16:15:32,2019-07-02 16:15:34,2.003s,PASSED
"click(findTestObject(""OCS-MOBILE /Cart flyout/i_-_icon--subtract""))",Chrome 75.0.3770.100,,2019-07-02 16:15:34,2019-07-02 16:15:34,0.063s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-07-02 16:15:34,2019-07-02 16:15:36,2.005s,PASSED
"click(findTestObject(""OCS-MOBILE /Cart flyout/i_-_icon--subtract""))",Chrome 75.0.3770.100,,2019-07-02 16:15:36,2019-07-02 16:15:36,0.055s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-07-02 16:15:36,2019-07-02 16:15:38,2.002s,PASSED
"click(findTestObject(""OCS-MOBILE /Cart flyout/i_-_icon--subtract""))",Chrome 75.0.3770.100,,2019-07-02 16:15:38,2019-07-02 16:15:39,0.052s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-07-02 16:15:39,2019-07-02 16:15:44,5.006s,PASSED
