Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
COLLECTION PAGE,Chrome 74.0.3729.108,,2019-04-30 17:13:58,2019-04-30 17:15:56,1m - 58.581s,FAILED
,,,,,,
Test Cases/OCS-COLLECTION PAGE/Sort1,Chrome 74.0.3729.108,,2019-04-30 17:13:58,2019-04-30 17:14:15,16.681s,FAILED
"openBrowser("""")",Chrome 74.0.3729.108,,2019-04-30 17:13:58,2019-04-30 17:14:01,2.574s,PASSED
maximizeWindow(),Chrome 74.0.3729.108,,2019-04-30 17:14:01,2019-04-30 17:14:01,0.235s,PASSED
"navigateToUrl(""https://ocs.ca/#/verify-age"")",Chrome 74.0.3729.108,,2019-04-30 17:14:01,2019-04-30 17:14:05,3.502s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/SORT_OR/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""2"", true)",Chrome 74.0.3729.108,,2019-04-30 17:14:05,2019-04-30 17:14:05,0.421s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/SORT_OR/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""2"", true)",Chrome 74.0.3729.108,,2019-04-30 17:14:05,2019-04-30 17:14:05,0.221s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/SORT_OR/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152""), ""2013"", true)",Chrome 74.0.3729.108,,2019-04-30 17:14:05,2019-04-30 17:14:06,1.064s,PASSED
"click(findTestObject(""Object Repository/SORT_OR/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Chrome 74.0.3729.108,,2019-04-30 17:14:06,2019-04-30 17:14:07,0.128s,PASSED
"click(findTestObject(""Object Repository/SORT_OR/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Chrome 74.0.3729.108,,2019-04-30 17:14:07,2019-04-30 17:14:07,0.089s,PASSED
"click(findTestObject(""Object Repository/SORT_OR/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Chrome 74.0.3729.108,,2019-04-30 17:14:07,2019-04-30 17:14:07,0.075s,PASSED
"click(findTestObject(""Object Repository/SORT_OR/Page_Ontario Cannabis Store  Ontari/a_Oops Im actually 19 or older""))",Chrome 74.0.3729.108,,2019-04-30 17:14:07,2019-04-30 17:14:07,0.098s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/SORT_OR/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""4"", true)",Chrome 74.0.3729.108,,2019-04-30 17:14:07,2019-04-30 17:14:07,0.350s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/SORT_OR/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""9"", true)",Chrome 74.0.3729.108,,2019-04-30 17:14:07,2019-04-30 17:14:07,0.230s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/SORT_OR/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152""), ""1987"", true)",Chrome 74.0.3729.108,,2019-04-30 17:14:07,2019-04-30 17:14:09,1.102s,PASSED
"click(findTestObject(""Object Repository/SORT_OR/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Chrome 74.0.3729.108,,2019-04-30 17:14:09,2019-04-30 17:14:09,0.077s,PASSED
"click(findTestObject(""Object Repository/SORT_OR/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Chrome 74.0.3729.108,,2019-04-30 17:14:09,2019-04-30 17:14:09,0.082s,PASSED
"click(findTestObject(""Object Repository/SORT_OR/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Chrome 74.0.3729.108,,2019-04-30 17:14:09,2019-04-30 17:14:09,0.067s,PASSED
"click(findTestObject(""Object Repository/SORT_OR/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Chrome 74.0.3729.108,,2019-04-30 17:14:09,2019-04-30 17:14:09,0.077s,PASSED
delay(2),Chrome 74.0.3729.108,,2019-04-30 17:14:09,2019-04-30 17:14:11,2.021s,PASSED
"mouseOver(findTestObject(""Object Repository/SORT_OR/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Chrome 74.0.3729.108,,2019-04-30 17:14:11,2019-04-30 17:14:11,0.074s,PASSED
