Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CRITICAL PATH - 09-05-2019,Chrome 74.0.3729.131,,2019-05-09 10:48:02,2019-05-09 10:56:48,8m - 45.521s,FAILED
,,,,,,
Test Cases/OCS- CRITICAL PATH/Cart,Chrome 74.0.3729.131,,2019-05-09 10:48:02,2019-05-09 10:48:58,55.984s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-09 10:48:03,2019-05-09 10:48:05,2.268s,PASSED
"navigateToUrl(""https://ocs.ca/?fts=0&preview_theme_id=53373863756"")",Chrome 74.0.3729.131,,2019-05-09 10:48:05,2019-05-09 10:48:10,4.540s,PASSED
"click(findTestObject(""Object Repository/Theme_oR/Page_Ontario Cannabis Store  Ontari/button_Close preview""))",Chrome 74.0.3729.131,,2019-05-09 10:48:10,2019-05-09 10:48:13,2.798s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,2019-05-09 10:48:13,2019-05-09 10:48:13,0.233s,PASSED
"selectOptionByValue(findTestObject(""OCS_CRITICAL PATH/cart flyout- price/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""17"", true)",Chrome 74.0.3729.131,,2019-05-09 10:48:13,2019-05-09 10:48:13,0.498s,PASSED
"selectOptionByValue(findTestObject(""OCS_CRITICAL PATH/cart flyout- price/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""8"", true)",Chrome 74.0.3729.131,,2019-05-09 10:48:13,2019-05-09 10:48:14,0.258s,PASSED
"selectOptionByValue(findTestObject(""OCS_CRITICAL PATH/cart flyout- price/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152""), ""1950"", true)",Chrome 74.0.3729.131,,2019-05-09 10:48:14,2019-05-09 10:48:15,1.322s,PASSED
"click(findTestObject(""OCS_CRITICAL PATH/cart flyout- price/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Chrome 74.0.3729.131,,2019-05-09 10:48:15,2019-05-09 10:48:15,0.087s,PASSED
"click(findTestObject(""OCS_CRITICAL PATH/cart flyout- price/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Chrome 74.0.3729.131,,2019-05-09 10:48:15,2019-05-09 10:48:15,0.061s,PASSED
"click(findTestObject(""OCS_CRITICAL PATH/cart flyout- price/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Chrome 74.0.3729.131,,2019-05-09 10:48:15,2019-05-09 10:48:15,0.067s,PASSED
"click(findTestObject(""OCS_CRITICAL PATH/cart flyout- price/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Chrome 74.0.3729.131,,2019-05-09 10:48:15,2019-05-09 10:48:15,0.061s,PASSED
delay(3),Chrome 74.0.3729.131,,2019-05-09 10:48:15,2019-05-09 10:48:18,3.041s,PASSED
"mouseOver(findTestObject(""OCS_CRITICAL PATH/cart flyout- price/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Chrome 74.0.3729.131,,2019-05-09 10:48:18,2019-05-09 10:48:18,0.078s,PASSED
delay(3),Chrome 74.0.3729.131,,2019-05-09 10:48:18,2019-05-09 10:48:21,3.005s,PASSED
"click(findTestObject(""OCS_CRITICAL PATH/cart flyout- price/Page_Ontario Cannabis Store  Ontari/span_Indica Dominant""))",Chrome 74.0.3729.131,,2019-05-09 10:48:21,2019-05-09 10:48:23,1.950s,PASSED
delay(3),Chrome 74.0.3729.131,,2019-05-09 10:48:23,2019-05-09 10:48:26,3.004s,PASSED
"click(findTestObject(""OCS_CRITICAL PATH/cart flyout- price/Page_Indica Dominant Dried Flower/h3_Shishkaberry""))",Chrome 74.0.3729.131,,2019-05-09 10:48:26,2019-05-09 10:48:30,4.008s,PASSED
delay(3),Chrome 74.0.3729.131,,2019-05-09 10:48:30,2019-05-09 10:48:33,3.004s,PASSED
"click(findTestObject(""OCS_CRITICAL PATH/cart flyout- price/Page_Shishkaberry  Ontario Cannabis/label_1g""))",Chrome 74.0.3729.131,,2019-05-09 10:48:33,2019-05-09 10:48:33,0.089s,PASSED
delay(3),Chrome 74.0.3729.131,,2019-05-09 10:48:33,2019-05-09 10:48:36,3.003s,PASSED
"click(findTestObject(""OCS_CRITICAL PATH/cart flyout- price/Page_Shishkaberry  Ontario Cannabis/button_Add to Bag9.75""))",Chrome 74.0.3729.131,,2019-05-09 10:48:36,2019-05-09 10:48:37,0.071s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-09 10:48:37,2019-05-09 10:48:39,2.003s,PASSED
