Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CRITICAL PATH,Chrome 74.0.3729.108,,2019-04-30 15:35:41,2019-04-30 15:42:35,6m - 54.247s,FAILED
,,,,,,
Test Cases/OCS- CRITICAL PATH/Cart flyout- increase qty,Chrome 74.0.3729.108,,2019-04-30 15:35:41,2019-04-30 15:36:14,32.272s,PASSED
"openBrowser("""")",Chrome 74.0.3729.108,,2019-04-30 15:35:42,2019-04-30 15:35:45,3.476s,PASSED
"navigateToUrl(""https://ocs.ca/#/verify-age"")",Chrome 74.0.3729.108,,2019-04-30 15:35:45,2019-04-30 15:35:50,4.130s,PASSED
maximizeWindow(),Chrome 74.0.3729.108,,2019-04-30 15:35:50,2019-04-30 15:35:50,0.255s,PASSED
"selectOptionByValue(findTestObject(""cart flyout_OR/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""18"", true)",Chrome 74.0.3729.108,,2019-04-30 15:35:50,2019-04-30 15:35:50,0.557s,PASSED
"selectOptionByValue(findTestObject(""cart flyout_OR/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""9"", true)",Chrome 74.0.3729.108,,2019-04-30 15:35:50,2019-04-30 15:35:51,0.293s,PASSED
"selectOptionByValue(findTestObject(""cart flyout_OR/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152""), ""1933"", true)",Chrome 74.0.3729.108,,2019-04-30 15:35:51,2019-04-30 15:35:52,1.577s,PASSED
"click(findTestObject(""cart flyout_OR/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Chrome 74.0.3729.108,,2019-04-30 15:35:52,2019-04-30 15:35:52,0.128s,PASSED
"click(findTestObject(""cart flyout_OR/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Chrome 74.0.3729.108,,2019-04-30 15:35:52,2019-04-30 15:35:52,0.120s,PASSED
"click(findTestObject(""cart flyout_OR/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Chrome 74.0.3729.108,,2019-04-30 15:35:52,2019-04-30 15:35:53,0.080s,PASSED
"click(findTestObject(""cart flyout_OR/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Chrome 74.0.3729.108,,2019-04-30 15:35:53,2019-04-30 15:35:53,0.103s,PASSED
"click(findTestObject(""OCS_CRITICAL PATH/Cartflyout-decrease qty _OR/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Chrome 74.0.3729.108,,2019-04-30 15:35:53,2019-04-30 15:35:53,0.099s,PASSED
"click(findTestObject(""OCS_CRITICAL PATH/Cartflyout-decrease qty _OR/Page_Ontario Cannabis Store  Ontari/span_Indica Dominant""))",Chrome 74.0.3729.108,,2019-04-30 15:35:53,2019-04-30 15:35:54,1.745s,PASSED
delay(3),Chrome 74.0.3729.108,,2019-04-30 15:35:54,2019-04-30 15:35:58,3.040s,PASSED
"click(findTestObject(""OCS_CRITICAL PATH/Cartflyout-decrease qty _OR/Page_Indica Dominant Dried Flower/h3_Shishkaberry""))",Chrome 74.0.3729.108,,2019-04-30 15:35:58,2019-04-30 15:36:00,2.903s,PASSED
"click(findTestObject(""OCS_CRITICAL PATH/Cartflyout-decrease qty _OR/Page_Shishkaberry  Ontario Cannabis/div_3.5g""))",Chrome 74.0.3729.108,,2019-04-30 15:36:00,2019-04-30 15:36:01,0.092s,PASSED
delay(2),Chrome 74.0.3729.108,,2019-04-30 15:36:01,2019-04-30 15:36:03,2.006s,PASSED
"click(findTestObject(""Object Repository/cart flyout_OR/Page_Shishkaberry  Ontario Cannabis/button_""))",Chrome 74.0.3729.108,,2019-04-30 15:36:03,2019-04-30 15:36:03,0.001s,NOT_RUN
"click(findTestObject(""OCS_CRITICAL PATH/Cartflyout-decrease qty _OR/Page_Shishkaberry  Ontario Cannabis/span_Add to Bag""))",Chrome 74.0.3729.108,,2019-04-30 15:36:03,2019-04-30 15:36:03,0.097s,PASSED
