Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HOME PAGE - 09-05-2019,Chrome 74.0.3729.131,,2019-05-09 11:07:28,2019-05-09 11:16:34,9m - 6.078s,FAILED
,,,,,,
Test Cases/OCS- HOME PAGE/Announcement,Chrome 74.0.3729.131,,2019-05-09 11:07:29,2019-05-09 11:07:46,17.783s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-09 11:07:29,2019-05-09 11:07:32,2.622s,PASSED
"navigateToUrl(""https://ocs.ca/?fts=0&preview_theme_id=53373863756"")",Chrome 74.0.3729.131,,2019-05-09 11:07:32,2019-05-09 11:07:38,6.618s,PASSED
"click(findTestObject(""Object Repository/Theme_oR/Page_Ontario Cannabis Store  Ontari/button_Close preview""))",Chrome 74.0.3729.131,,2019-05-09 11:07:38,2019-05-09 11:07:42,3.552s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,2019-05-09 11:07:42,2019-05-09 11:07:42,0.228s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Announcement_OR/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""1"", true)",Chrome 74.0.3729.131,,2019-05-09 11:07:42,2019-05-09 11:07:42,0.395s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Announcement_OR/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""0"", true)",Chrome 74.0.3729.131,,2019-05-09 11:07:42,2019-05-09 11:07:43,0.212s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Announcement_OR/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152""), ""1968"", true)",Chrome 74.0.3729.131,,2019-05-09 11:07:43,2019-05-09 11:07:44,1.237s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-09 11:07:44,2019-05-09 11:07:46,2.025s,PASSED
"click(findTestObject(""Announcement_OR/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Chrome 74.0.3729.131,,2019-05-09 11:07:46,2019-05-09 11:07:46,0.082s,PASSED
"click(findTestObject(""Object Repository/Announcement_OR/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Chrome 74.0.3729.131,,2019-05-09 11:07:46,2019-05-09 11:07:46,0.062s,PASSED
"click(findTestObject(""Object Repository/Announcement_OR/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Chrome 74.0.3729.131,,2019-05-09 11:07:46,2019-05-09 11:07:46,0.060s,PASSED
"click(findTestObject(""Object Repository/Announcement_OR/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Chrome 74.0.3729.131,,2019-05-09 11:07:46,2019-05-09 11:07:46,0.063s,PASSED
"flag = verifyTextNotPresent(""Due to holiday closures within the Canada Post network through Good Friday and Easter Monday, please expect some order delivery delays."", false)",Chrome 74.0.3729.131,,2019-05-09 11:07:46,2019-05-09 11:07:46,0.148s,PASSED
"comment(""flag ="" + flag)",Chrome 74.0.3729.131,,2019-05-09 11:07:46,2019-05-09 11:07:46,0.007s,PASSED
if (flag == false),Chrome 74.0.3729.131,,2019-05-09 11:07:46,2019-05-09 11:07:46,0.001s,PASSED
else,Chrome 74.0.3729.131,,2019-05-09 11:07:46,2019-05-09 11:07:46,0.004s,PASSED
closeBrowser(),Chrome 74.0.3729.131,,2019-05-09 11:07:46,2019-05-09 11:07:46,0.122s,PASSED
,,,,,,
Test Cases/OCS- HOME PAGE/cart flyout,Chrome 74.0.3729.131,,2019-05-09 11:07:46,2019-05-09 11:08:14,27.678s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-09 11:07:47,2019-05-09 11:07:48,1.075s,PASSED
delay(4),Chrome 74.0.3729.131,,2019-05-09 11:07:48,2019-05-09 11:07:52,4.005s,PASSED
"navigateToUrl(""https://ocs.ca/?fts=0&preview_theme_id=53373863756"")",Chrome 74.0.3729.131,,2019-05-09 11:07:52,2019-05-09 11:07:57,4.976s,PASSED
