Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HOME PAGE,Chrome 74.0.3729.108,,2019-04-30 14:02:18,2019-04-30 14:10:51,8m - 32.544s,FAILED
,,,,,,
Test Cases/OCS- HOME PAGE/Toggling language,Chrome 74.0.3729.108,,2019-04-30 14:02:19,2019-04-30 14:03:06,46.883s,FAILED
"openBrowser("""")",Chrome 74.0.3729.108,,2019-04-30 14:02:19,2019-04-30 14:02:22,2.630s,PASSED
"navigateToUrl(""http://ocs.ca/#/verify-age"")",Chrome 74.0.3729.108,,2019-04-30 14:02:22,2019-04-30 14:02:26,4.476s,PASSED
maximizeWindow(),Chrome 74.0.3729.108,,2019-04-30 14:02:26,2019-04-30 14:02:26,0.249s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/language_OR/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""1"", true)",Chrome 74.0.3729.108,,2019-04-30 14:02:26,2019-04-30 14:02:27,0.421s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/language_OR/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""0"", true)",Chrome 74.0.3729.108,,2019-04-30 14:02:27,2019-04-30 14:02:27,0.196s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/language_OR/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152""), ""1968"", true)",Chrome 74.0.3729.108,,2019-04-30 14:02:27,2019-04-30 14:02:28,1.207s,PASSED
"click(findTestObject(""Object Repository/language_OR/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Chrome 74.0.3729.108,,2019-04-30 14:02:28,2019-04-30 14:02:28,0.124s,PASSED
"click(findTestObject(""Object Repository/language_OR/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Chrome 74.0.3729.108,,2019-04-30 14:02:28,2019-04-30 14:02:28,0.087s,PASSED
"click(findTestObject(""Object Repository/language_OR/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Chrome 74.0.3729.108,,2019-04-30 14:02:28,2019-04-30 14:02:28,0.063s,PASSED
"click(findTestObject(""Object Repository/language_OR/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Chrome 74.0.3729.108,,2019-04-30 14:02:28,2019-04-30 14:02:29,0.061s,PASSED
delay(5),Chrome 74.0.3729.108,,2019-04-30 14:02:29,2019-04-30 14:02:34,5.024s,PASSED
"click(findTestObject(""Object Repository/language_OR/Page_Ontario Cannabis Store  Ontari/p_English""))",Chrome 74.0.3729.108,,2019-04-30 14:02:34,2019-04-30 14:03:06,31.990s,FAILED
,,,,,,
Test Cases/OCS- HOME PAGE/HP-Mega menu - Hover-cannabis,Chrome 74.0.3729.108,,2019-04-30 14:03:06,2019-04-30 14:04:41,1m - 35.164s,FAILED
"openBrowser("""")",Chrome 74.0.3729.108,,2019-04-30 14:03:06,2019-04-30 14:03:07,1.256s,PASSED
"navigateToUrl(""http://ocs.ca/#/verify-age"")",Chrome 74.0.3729.108,,2019-04-30 14:03:07,2019-04-30 14:03:10,3.137s,PASSED
maximizeWindow(),Chrome 74.0.3729.108,,2019-04-30 14:03:10,2019-04-30 14:03:10,0.216s,PASSED
