Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Homepage,Chrome 74.0.3729.108,,2019-04-30 15:01:05,2019-04-30 15:09:10,8m - 4.429s,FAILED
,,,,,,
Test Cases/OCS- HOME PAGE/Toggling language,Chrome 74.0.3729.108,,2019-04-30 15:01:06,2019-04-30 15:01:52,46.151s,FAILED
"openBrowser("""")",Chrome 74.0.3729.108,,2019-04-30 15:01:06,2019-04-30 15:01:09,2.608s,PASSED
"navigateToUrl(""http://ocs.ca/#/verify-age"")",Chrome 74.0.3729.108,,2019-04-30 15:01:09,2019-04-30 15:01:12,3.531s,PASSED
maximizeWindow(),Chrome 74.0.3729.108,,2019-04-30 15:01:12,2019-04-30 15:01:13,0.244s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/language_OR/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""1"", true)",Chrome 74.0.3729.108,,2019-04-30 15:01:13,2019-04-30 15:01:13,0.478s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/language_OR/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""0"", true)",Chrome 74.0.3729.108,,2019-04-30 15:01:13,2019-04-30 15:01:13,0.278s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/language_OR/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152""), ""1968"", true)",Chrome 74.0.3729.108,,2019-04-30 15:01:13,2019-04-30 15:01:15,1.349s,PASSED
"click(findTestObject(""Object Repository/language_OR/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Chrome 74.0.3729.108,,2019-04-30 15:01:15,2019-04-30 15:01:15,0.122s,PASSED
"click(findTestObject(""Object Repository/language_OR/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Chrome 74.0.3729.108,,2019-04-30 15:01:15,2019-04-30 15:01:15,0.079s,PASSED
"click(findTestObject(""Object Repository/language_OR/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Chrome 74.0.3729.108,,2019-04-30 15:01:15,2019-04-30 15:01:15,0.069s,PASSED
"click(findTestObject(""Object Repository/language_OR/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Chrome 74.0.3729.108,,2019-04-30 15:01:15,2019-04-30 15:01:15,0.063s,PASSED
delay(5),Chrome 74.0.3729.108,,2019-04-30 15:01:15,2019-04-30 15:01:20,5.026s,PASSED
"click(findTestObject(""Object Repository/language_OR/Page_Ontario Cannabis Store  Ontari/p_English""))",Chrome 74.0.3729.108,,2019-04-30 15:01:20,2019-04-30 15:01:52,31.922s,FAILED
,,,,,,
Test Cases/OCS- HOME PAGE/HP-Mega menu - Hover-cannabis,Chrome 74.0.3729.108,,2019-04-30 15:01:52,2019-04-30 15:03:30,1m - 38.383s,FAILED
"openBrowser("""")",Chrome 74.0.3729.108,,2019-04-30 15:01:52,2019-04-30 15:01:53,1.216s,PASSED
"navigateToUrl(""http://ocs.ca/#/verify-age"")",Chrome 74.0.3729.108,,2019-04-30 15:01:53,2019-04-30 15:01:55,1.815s,PASSED
maximizeWindow(),Chrome 74.0.3729.108,,2019-04-30 15:01:55,2019-04-30 15:01:55,0.224s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""1"", true)",Chrome 74.0.3729.108,,2019-04-30 15:01:55,2019-04-30 15:01:56,0.569s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""0"", true)",Chrome 74.0.3729.108,,2019-04-30 15:01:56,2019-04-30 15:01:56,0.282s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152""), ""1968"", true)",Chrome 74.0.3729.108,,2019-04-30 15:01:56,2019-04-30 15:01:58,1.213s,PASSED
"click(findTestObject(""Object Repository/mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Chrome 74.0.3729.108,,2019-04-30 15:01:58,2019-04-30 15:01:58,0.095s,PASSED
"click(findTestObject(""Object Repository/mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Chrome 74.0.3729.108,,2019-04-30 15:01:58,2019-04-30 15:01:58,0.117s,PASSED
"click(findTestObject(""Object Repository/mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Chrome 74.0.3729.108,,2019-04-30 15:01:58,2019-04-30 15:01:58,0.067s,PASSED
"click(findTestObject(""Object Repository/mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Chrome 74.0.3729.108,,2019-04-30 15:01:58,2019-04-30 15:01:58,0.069s,PASSED
delay(2),Chrome 74.0.3729.108,,2019-04-30 15:01:58,2019-04-30 15:02:00,2.001s,PASSED
"click(findTestObject(""mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Chrome 74.0.3729.108,,2019-04-30 15:02:00,2019-04-30 15:02:00,0.087s,PASSED
delay(2),Chrome 74.0.3729.108,,2019-04-30 15:02:00,2019-04-30 15:02:02,2.005s,PASSED
"click(findTestObject(""mega-menu - cannabis/Page_Dried Flower  Ontario Cannabis/span_Indica Dominant""))",Chrome 74.0.3729.108,,2019-04-30 15:02:02,2019-04-30 15:02:05,2.707s,PASSED
"mouseOver(findTestObject(""mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Chrome 74.0.3729.108,,2019-04-30 15:02:05,2019-04-30 15:02:05,0.290s,PASSED
delay(3),Chrome 74.0.3729.108,,2019-04-30 15:02:05,2019-04-30 15:02:08,3.002s,PASSED
"mouseOver(findTestObject(""mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/span_Dried Flower""))",Chrome 74.0.3729.108,,2019-04-30 15:02:08,2019-04-30 15:02:08,0.046s,PASSED
delay(2),Chrome 74.0.3729.108,,2019-04-30 15:02:08,2019-04-30 15:02:10,2.004s,PASSED
"click(findTestObject(""mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/span_Dried Flower""))",Chrome 74.0.3729.108,,2019-04-30 15:02:10,2019-04-30 15:02:12,1.994s,PASSED
"mouseOver(findTestObject(""mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Chrome 74.0.3729.108,,2019-04-30 15:02:12,2019-04-30 15:02:12,0.090s,PASSED
delay(2),Chrome 74.0.3729.108,,2019-04-30 15:02:12,2019-04-30 15:02:14,2.006s,PASSED
"mouseOver(findTestObject(""mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Chrome 74.0.3729.108,,2019-04-30 15:02:14,2019-04-30 15:02:14,0.025s,PASSED
delay(2),Chrome 74.0.3729.108,,2019-04-30 15:02:14,2019-04-30 15:02:16,2.002s,PASSED
"click(findTestObject(""mega-menu - cannabis/Page_Indica Dominant Dried Flower/span_Sativa Dominant""))",Chrome 74.0.3729.108,,2019-04-30 15:02:16,2019-04-30 15:02:18,1.567s,PASSED
"mouseOver(findTestObject(""mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Chrome 74.0.3729.108,,2019-04-30 15:02:18,2019-04-30 15:02:18,0.066s,PASSED
delay(2),Chrome 74.0.3729.108,,2019-04-30 15:02:18,2019-04-30 15:02:20,2.005s,PASSED
"click(findTestObject(""mega-menu - cannabis/Page_Sativa Dominant Dried Flower/span_Hybrid""), CONTINUE_ON_FAILURE)",Chrome 74.0.3729.108,,2019-04-30 15:02:20,2019-04-30 15:02:51,31.465s,FAILED
"mouseOver(findTestObject(""mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Chrome 74.0.3729.108,,2019-04-30 15:02:51,2019-04-30 15:02:51,0.045s,PASSED
delay(2),Chrome 74.0.3729.108,,2019-04-30 15:02:51,2019-04-30 15:02:53,2.004s,PASSED
"click(findTestObject(""mega-menu - cannabis/Page_Hybrid Dried Flower  Ontario C/a_Shop AllDried Flower""))",Chrome 74.0.3729.108,,2019-04-30 15:02:53,2019-04-30 15:02:54,0.833s,PASSED
"mouseOver(findTestObject(""Object Repository/mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Chrome 74.0.3729.108,,2019-04-30 15:02:54,2019-04-30 15:02:54,0.074s,PASSED
delay(2),Chrome 74.0.3729.108,,2019-04-30 15:02:54,2019-04-30 15:02:56,2.005s,PASSED
"click(findTestObject(""Object Repository/mega-menu - cannabis/Page_Dried Flower  Ontario Cannabis/span_Oils""))",Chrome 74.0.3729.108,,2019-04-30 15:02:56,2019-04-30 15:02:56,0.002s,NOT_RUN
"mouseOver(findTestObject(""Object Repository/mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Chrome 74.0.3729.108,,2019-04-30 15:02:56,2019-04-30 15:02:56,0.033s,PASSED
delay(2),Chrome 74.0.3729.108,,2019-04-30 15:02:56,2019-04-30 15:02:58,2.002s,PASSED
"click(findTestObject(""mega-menu - cannabis/Page_Oils  Ontario Cannabis Store/span_Bottled Oils""))",Chrome 74.0.3729.108,,2019-04-30 15:02:58,2019-04-30 15:03:30,32.044s,FAILED
,,,,,,
Test Cases/OCS- HOME PAGE/Announcement,Chrome 74.0.3729.108,,2019-04-30 15:03:30,2019-04-30 15:03:42,11.668s,PASSED
"openBrowser("""")",Chrome 74.0.3729.108,,2019-04-30 15:03:30,2019-04-30 15:03:32,1.225s,PASSED
"navigateToUrl(""https://ocs.ca/"")",Chrome 74.0.3729.108,,2019-04-30 15:03:32,2019-04-30 15:03:36,4.821s,PASSED
maximizeWindow(),Chrome 74.0.3729.108,,2019-04-30 15:03:36,2019-04-30 15:03:37,0.226s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Announcement_OR/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""1"", true)",Chrome 74.0.3729.108,,2019-04-30 15:03:37,2019-04-30 15:03:37,0.376s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Announcement_OR/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""0"", true)",Chrome 74.0.3729.108,,2019-04-30 15:03:37,2019-04-30 15:03:37,0.204s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Announcement_OR/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152""), ""1968"", true)",Chrome 74.0.3729.108,,2019-04-30 15:03:37,2019-04-30 15:03:39,1.214s,PASSED
delay(2),Chrome 74.0.3729.108,,2019-04-30 15:03:39,2019-04-30 15:03:41,2.006s,PASSED
"click(findTestObject(""Announcement_OR/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Chrome 74.0.3729.108,,2019-04-30 15:03:41,2019-04-30 15:03:41,0.156s,PASSED
"click(findTestObject(""Object Repository/Announcement_OR/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Chrome 74.0.3729.108,,2019-04-30 15:03:41,2019-04-30 15:03:41,0.084s,PASSED
"click(findTestObject(""Object Repository/Announcement_OR/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Chrome 74.0.3729.108,,2019-04-30 15:03:41,2019-04-30 15:03:41,0.087s,PASSED
"click(findTestObject(""Object Repository/Announcement_OR/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Chrome 74.0.3729.108,,2019-04-30 15:03:41,2019-04-30 15:03:41,0.062s,PASSED
"flag = verifyTextNotPresent(""Due to holiday closures within the Canada Post network through Good Friday and Easter Monday, please expect some order delivery delays."", false)",Chrome 74.0.3729.108,,2019-04-30 15:03:41,2019-04-30 15:03:42,0.850s,PASSED
"comment(""flag ="" + flag)",Chrome 74.0.3729.108,,2019-04-30 15:03:42,2019-04-30 15:03:42,0.006s,PASSED
if (flag == false),Chrome 74.0.3729.108,,2019-04-30 15:03:42,2019-04-30 15:03:42,0.001s,PASSED
else,Chrome 74.0.3729.108,,2019-04-30 15:03:42,2019-04-30 15:03:42,0.001s,PASSED
closeBrowser(),Chrome 74.0.3729.108,,2019-04-30 15:03:42,2019-04-30 15:03:42,0.215s,PASSED
,,,,,,
Test Cases/OCS- HOME PAGE/cart flyout,Chrome 74.0.3729.108,,2019-04-30 15:03:42,2019-04-30 15:04:08,25.559s,PASSED
