Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Live site,Safari 12,,2019-06-28 16:39:56,2019-06-28 17:29:15,49m - 19.389s,FAILED
,,,,,,
Test Cases/OCS - MOBILE/OCS- CRITICAL PATH/Cart flyout- increase qty,Safari 12,,2019-06-28 16:39:56,2019-06-28 16:40:49,53.070s,PASSED
"callTestCase(findTestCase(""OCS - MOBILE/CALL - AGE GATE""), [:], STOP_ON_FAILURE)",Safari 12,,2019-06-28 16:39:56,2019-06-28 16:40:12,16.005s,PASSED
delay(2),Safari 12,,2019-06-28 16:40:12,2019-06-28 16:40:14,2.005s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Burger menu - English""))",Safari 12,,2019-06-28 16:40:14,2019-06-28 16:40:14,0.049s,PASSED
delay(2),Safari 12,,2019-06-28 16:40:14,2019-06-28 16:40:16,2.012s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Chevron_Cannabis""))",Safari 12,,2019-06-28 16:40:16,2019-06-28 16:40:16,0.085s,PASSED
delay(2),Safari 12,,2019-06-28 16:40:16,2019-06-28 16:40:18,2.005s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Dried Flower_Plus icon""))",Safari 12,,2019-06-28 16:40:18,2019-06-28 16:40:18,0.043s,PASSED
delay(2),Safari 12,,2019-06-28 16:40:18,2019-06-28 16:40:20,2.004s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Indica Dominant_Menu item""))",Safari 12,,2019-06-28 16:40:20,2019-06-28 16:40:21,0.517s,PASSED
delay(2),Safari 12,,2019-06-28 16:40:21,2019-06-28 16:40:23,2.005s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Safari 12,,2019-06-28 16:40:23,2019-06-28 16:40:23,0.001s,NOT_RUN
"click(findTestObject(""OCS-MOBILE /Collection page/Product image - 1st one""))",Safari 12,,2019-06-28 16:40:23,2019-06-28 16:40:26,3.277s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Safari 12,,2019-06-28 16:40:26,2019-06-28 16:40:26,0.000s,NOT_RUN
"scrollToElement(findTestObject(""OCS-MOBILE /Product page/Product image""), 1)",Safari 12,,2019-06-28 16:40:26,2019-06-28 16:40:26,0.001s,NOT_RUN
delay(2),Safari 12,,2019-06-28 16:40:26,2019-06-28 16:40:28,2.008s,PASSED
"flag = verifyElementClickable(findTestObject(""OCS-MOBILE /Product page/Swatch_3.5g""))",Safari 12,,2019-06-28 16:40:28,2019-06-28 16:40:28,0.144s,PASSED
"comment("" flag ="" + flag)",Safari 12,,2019-06-28 16:40:28,2019-06-28 16:40:28,0.005s,PASSED
if (flag == true),Safari 12,,2019-06-28 16:40:28,2019-06-28 16:40:30,2.182s,PASSED
"click(findTestObject(""OCS-MOBILE /Product page/Quantity Increase - Button""))",Safari 12,,2019-06-28 16:40:30,2019-06-28 16:40:31,0.178s,PASSED
delay(2),Safari 12,,2019-06-28 16:40:31,2019-06-28 16:40:33,2.002s,PASSED
"click(findTestObject(""OCS-MOBILE /Product page/Add to Bag-button""))",Safari 12,,2019-06-28 16:40:33,2019-06-28 16:40:33,0.077s,PASSED
delay(1),Safari 12,,2019-06-28 16:40:33,2019-06-28 16:40:34,1.004s,PASSED
"click(findTestObject(""OCS-MOBILE /Home - page/Cart icon -bag""))",Safari 12,,2019-06-28 16:40:34,2019-06-28 16:40:34,0.001s,NOT_RUN
delay(2),Safari 12,,2019-06-28 16:40:34,2019-06-28 16:40:36,2.003s,PASSED
"click(findTestObject(""OCS-MOBILE /Cart flyout/Quantity increase - Product""))",Safari 12,,2019-06-28 16:40:36,2019-06-28 16:40:36,0.090s,PASSED
delay(2),Safari 12,,2019-06-28 16:40:36,2019-06-28 16:40:38,2.003s,PASSED
"click(findTestObject(""OCS-MOBILE /Cart flyout/Quantity increase - Product""))",Safari 12,,2019-06-28 16:40:38,2019-06-28 16:40:38,0.097s,PASSED
delay(2),Safari 12,,2019-06-28 16:40:38,2019-06-28 16:40:40,2.027s,PASSED
"a = getText(findTestObject(""OCS-MOBILE /Cart flyout/Unit price - Product""))",Safari 12,,2019-06-28 16:40:40,2019-06-28 16:40:40,0.278s,PASSED
