Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OCS - 1.11.0,Chrome 75.0.3770.100,,2019-06-21 16:50:50,2019-06-21 17:29:34,38m - 44.269s,FAILED
,,,,,,
Test Cases/OCS - MOBILE/OCS- HOME PAGE/Toggling language,Chrome 75.0.3770.100,,2019-06-21 16:50:50,2019-06-21 16:51:34,43.926s,PASSED
"callTestCase(findTestCase(""OCS - MOBILE/CALL - AGE GATE""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-21 16:50:51,2019-06-21 16:51:08,17.961s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Chrome 75.0.3770.100,,2019-06-21 16:51:08,2019-06-21 16:51:09,0.012s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-21 16:51:09,2019-06-21 16:51:11,2.006s,PASSED
refresh(),Chrome 75.0.3770.100,,2019-06-21 16:51:11,2019-06-21 16:51:11,0.003s,NOT_RUN
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Burger menu - English""))",Chrome 75.0.3770.100,,2019-06-21 16:51:11,2019-06-21 16:51:11,0.087s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-21 16:51:11,2019-06-21 16:51:13,2.006s,PASSED
"click(findTestObject(""OCS-MOBILE /Cart flyout/English dropdown""))",Chrome 75.0.3770.100,,2019-06-21 16:51:13,2019-06-21 16:51:13,0.055s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-21 16:51:13,2019-06-21 16:51:15,2.003s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Chrome 75.0.3770.100,,2019-06-21 16:51:15,2019-06-21 16:51:15,0.009s,PASSED
"click(findTestObject(""OCS-MOBILE /Cart flyout/Select French""))",Chrome 75.0.3770.100,,2019-06-21 16:51:15,2019-06-21 16:51:15,0.083s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-06-21 16:51:15,2019-06-21 16:51:20,5.006s,PASSED
a = getWindowTitle(),Chrome 75.0.3770.100,,2019-06-21 16:51:20,2019-06-21 16:51:20,0.031s,PASSED
"comment(""a = "" + a)",Chrome 75.0.3770.100,,2019-06-21 16:51:20,2019-06-21 16:51:20,0.006s,PASSED
"b = ""Magasin de Cannabis de l'Ontario | Ontario Cannabis Store""",Chrome 75.0.3770.100,,2019-06-21 16:51:20,2019-06-21 16:51:20,0.000s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-21 16:51:20,2019-06-21 16:51:22,2.010s,PASSED
"flag1 = verifyMatch(a, b, false)",Chrome 75.0.3770.100,,2019-06-21 16:51:22,2019-06-21 16:51:22,0.009s,PASSED
"comment(""flag = "" + flag1)",Chrome 75.0.3770.100,,2019-06-21 16:51:22,2019-06-21 16:51:22,0.001s,PASSED
if (flag1 == true),Chrome 75.0.3770.100,,2019-06-21 16:51:22,2019-06-21 16:51:22,0.002s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-21 16:51:22,2019-06-21 16:51:24,2.002s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Burger menu - French""))",Chrome 75.0.3770.100,,2019-06-21 16:51:24,2019-06-21 16:51:24,0.090s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-21 16:51:24,2019-06-21 16:51:26,2.003s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Chrome 75.0.3770.100,,2019-06-21 16:51:26,2019-06-21 16:51:26,0.009s,PASSED
"delay(1, OPTIONAL)",Chrome 75.0.3770.100,,2019-06-21 16:51:26,2019-06-21 16:51:27,1.006s,PASSED
"click(findTestObject(""OCS-MOBILE /Cart flyout/French dropdown""))",Chrome 75.0.3770.100,,2019-06-21 16:51:27,2019-06-21 16:51:27,0.060s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-21 16:51:27,2019-06-21 16:51:29,2.007s,PASSED
"click(findTestObject(""OCS-MOBILE /Cart flyout/Select English""))",Chrome 75.0.3770.100,,2019-06-21 16:51:29,2019-06-21 16:51:29,0.081s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-06-21 16:51:29,2019-06-21 16:51:34,5.004s,PASSED
c = getWindowTitle(),Chrome 75.0.3770.100,,2019-06-21 16:51:34,2019-06-21 16:51:34,0.013s,PASSED
"comment(""c ="" + c)",Chrome 75.0.3770.100,,2019-06-21 16:51:34,2019-06-21 16:51:34,0.001s,PASSED
"d = ""Ontario Cannabis Store | Ontario Cannabis Store""",Chrome 75.0.3770.100,,2019-06-21 16:51:34,2019-06-21 16:51:34,0.001s,PASSED
"comment(""d ="" + d)",Chrome 75.0.3770.100,,2019-06-21 16:51:34,2019-06-21 16:51:34,0.001s,PASSED
"flag = verifyMatch(c, d, false)",Chrome 75.0.3770.100,,2019-06-21 16:51:34,2019-06-21 16:51:34,0.000s,PASSED
"comment("" flag = "" + flag)",Chrome 75.0.3770.100,,2019-06-21 16:51:34,2019-06-21 16:51:34,0.001s,PASSED
if (flag == true),Chrome 75.0.3770.100,,2019-06-21 16:51:34,2019-06-21 16:51:34,0.001s,PASSED
,,,,,,
Test Cases/OCS - MOBILE/OCS- HOME PAGE/HP-Burger menu-Accessories,Chrome 75.0.3770.100,,2019-06-21 16:51:34,2019-06-21 16:53:10,1m - 35.535s,FAILED
"callTestCase(findTestCase(""OCS - MOBILE/CALL - AGE GATE""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-21 16:51:35,2019-06-21 16:51:52,17.823s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-21 16:51:52,2019-06-21 16:51:54,2.003s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Burger menu - English""), CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-21 16:51:54,2019-06-21 16:51:54,0.078s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-21 16:51:54,2019-06-21 16:51:56,2.003s,PASSED
"click(findTestObject(""OCS-MOBILE /Accessories page/accessories Chevron""), STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-21 16:51:56,2019-06-21 16:51:56,0.080s,PASSED
"delay(1, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-21 16:51:56,2019-06-21 16:51:58,1.004s,PASSED
"click(findTestObject(""OCS-MOBILE /Accessories page/Vaporizers""), CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-21 16:51:58,2019-06-21 16:52:00,2.059s,PASSED
"delay(1, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-21 16:52:00,2019-06-21 16:52:01,1.005s,PASSED
a = getWindowTitle(CONTINUE_ON_FAILURE),Chrome 75.0.3770.100,,2019-06-21 16:52:01,2019-06-21 16:52:01,0.007s,PASSED
comment(a),Chrome 75.0.3770.100,,2019-06-21 16:52:01,2019-06-21 16:52:01,0.001s,PASSED
"b = ""Vaporizers | Ontario Cannabis Store""",Chrome 75.0.3770.100,,2019-06-21 16:52:01,2019-06-21 16:52:01,0.001s,PASSED
comment(b),Chrome 75.0.3770.100,,2019-06-21 16:52:01,2019-06-21 16:52:01,0.001s,PASSED
if (a == b),Chrome 75.0.3770.100,,2019-06-21 16:52:01,2019-06-21 16:52:01,0.001s,PASSED
"delay(1, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-21 16:52:01,2019-06-21 16:52:02,1.005s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Burger menu - English""), CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-21 16:52:02,2019-06-21 16:52:02,0.094s,PASSED
