Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OCS- 1.10.1,Chrome 75.0.3770.90,,2019-06-17 16:08:57,2019-06-17 16:26:55,17m - 57.266s,FAILED
,,,,,,
Test Cases/OCS - MOBILE/OCS- CRITICAL PATH/Cart flyout- increase qty,Chrome 75.0.3770.90,,2019-06-17 16:08:57,2019-06-17 16:09:23,25.743s,FAILED
"callTestCase(findTestCase(""OCS - MOBILE/CALL - AGE GATE""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.90,,2019-06-17 16:08:58,2019-06-17 16:09:17,18.820s,PASSED
delay(2),Chrome 75.0.3770.90,,2019-06-17 16:09:17,2019-06-17 16:09:19,2.007s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Burger menu - English""))",Chrome 75.0.3770.90,,2019-06-17 16:09:19,2019-06-17 16:09:19,0.126s,PASSED
delay(2),Chrome 75.0.3770.90,,2019-06-17 16:09:19,2019-06-17 16:09:21,2.004s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Chevron_Cannabis""))",Chrome 75.0.3770.90,,2019-06-17 16:09:21,2019-06-17 16:09:21,0.079s,PASSED
delay(2),Chrome 75.0.3770.90,,2019-06-17 16:09:21,2019-06-17 16:09:23,2.007s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Dried Flower_Plus icon""))",Chrome 75.0.3770.90,,2019-06-17 16:09:23,2019-06-17 16:09:23,0.355s,FAILED
,,,,,,
Test Cases/OCS - MOBILE/OCS- CRITICAL PATH/Cart flyout- decrease qty,Chrome 75.0.3770.90,,2019-06-17 16:09:23,2019-06-17 16:09:46,22.994s,FAILED
"callTestCase(findTestCase(""OCS - MOBILE/CALL - AGE GATE""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.90,,2019-06-17 16:09:23,2019-06-17 16:09:38,14.619s,PASSED
delay(2),Chrome 75.0.3770.90,,2019-06-17 16:09:38,2019-06-17 16:09:40,2.004s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Burger menu - English""))",Chrome 75.0.3770.90,,2019-06-17 16:09:40,2019-06-17 16:09:42,1.531s,PASSED
delay(2),Chrome 75.0.3770.90,,2019-06-17 16:09:42,2019-06-17 16:09:44,2.005s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Chevron_Cannabis""))",Chrome 75.0.3770.90,,2019-06-17 16:09:44,2019-06-17 16:09:44,0.078s,PASSED
delay(2),Chrome 75.0.3770.90,,2019-06-17 16:09:44,2019-06-17 16:09:46,2.004s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Dried Flower_Plus icon""))",Chrome 75.0.3770.90,,2019-06-17 16:09:46,2019-06-17 16:09:46,0.564s,FAILED
,,,,,,
Test Cases/OCS - MOBILE/OCS- CRITICAL PATH/Checkout- Payment,Chrome 75.0.3770.90,,2019-06-17 16:09:46,2019-06-17 16:10:16,30.060s,FAILED
"callTestCase(findTestCase(""OCS - MOBILE/CALL - AGE GATE""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.90,,2019-06-17 16:09:47,2019-06-17 16:10:04,17.534s,PASSED
