Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"AG , COLL , HP - CHROME",Firefox 66.0,,2019-05-18 20:09:52,2019-05-18 20:18:49,8m - 56.927s,FAILED
,,,,,,
Test Cases/OCS - MOBILE/OCS-AGE GATE/AG- Under Age,Firefox 66.0,,2019-05-18 20:09:53,2019-05-18 20:10:29,36.299s,PASSED
"openBrowser("""")",Firefox 66.0,,2019-05-18 20:09:53,2019-05-18 20:09:57,3.783s,PASSED
"navigateToUrl(""https://ocs.ca/?fts=0&preview_theme_id=53373863756"")",Firefox 66.0,,2019-05-18 20:09:57,2019-05-18 20:10:02,5.617s,PASSED
"setViewPortSize(360, 800)",Firefox 66.0,,2019-05-18 20:10:02,2019-05-18 20:10:02,0.091s,PASSED
delay(4),Firefox 66.0,,2019-05-18 20:10:02,2019-05-18 20:10:06,4.019s,PASSED
"selectOptionByValue(findTestObject(""OCS-MOBILE /Age gate and burger menu/Date""), ""12"", true)",Firefox 66.0,,2019-05-18 20:10:06,2019-05-18 20:10:07,0.818s,PASSED
"selectOptionByValue(findTestObject(""OCS-MOBILE /Age gate and burger menu/month""), ""6"", true)",Firefox 66.0,,2019-05-18 20:10:07,2019-05-18 20:10:08,0.500s,PASSED
delay(2),Firefox 66.0,,2019-05-18 20:10:08,2019-05-18 20:10:10,2.007s,PASSED
"selectOptionByValue(findTestObject(""OCS-MOBILE /Age gate and burger menu/Year Dropdown""), ""2017"", true)",Firefox 66.0,,2019-05-18 20:10:10,2019-05-18 20:10:11,1.438s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/button_Verify""))",Firefox 66.0,,2019-05-18 20:10:11,2019-05-18 20:10:12,0.745s,PASSED
delay(3),Firefox 66.0,,2019-05-18 20:10:12,2019-05-18 20:10:15,3.003s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Checkbox_CONFIRM AND ACKNOWLEDGE""))",Firefox 66.0,,2019-05-18 20:10:15,2019-05-18 20:10:16,0.741s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/button_CONFIRM""))",Firefox 66.0,,2019-05-18 20:10:16,2019-05-18 20:10:16,0.516s,PASSED
delay(3),Firefox 66.0,,2019-05-18 20:10:16,2019-05-18 20:10:19,3.006s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Oops Im actually 19 or older - Link""))",Firefox 66.0,,2019-05-18 20:10:19,2019-05-18 20:10:20,0.739s,PASSED
