Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CRITICAL PATH - 21- 05-19,Chrome 74.0.3729.157,,2019-05-21 17:50:10,2019-05-21 18:02:17,12m - 6.436s,FAILED
,,,,,,
Test Cases/OCS - MOBILE/OCS- CRITICAL PATH/Cart,Chrome 74.0.3729.157,,2019-05-21 17:50:11,2019-05-21 17:51:38,1m - 27.301s,PASSED
"openBrowser("""")",Chrome 74.0.3729.157,,2019-05-21 17:50:11,2019-05-21 17:50:14,2.400s,PASSED
"navigateToUrl(""https://ocs.ca/?fts=0&preview_theme_id=53373863756"")",Chrome 74.0.3729.157,,2019-05-21 17:50:14,2019-05-21 17:50:20,6.224s,PASSED
"setViewPortSize(360, 800)",Chrome 74.0.3729.157,,2019-05-21 17:50:20,2019-05-21 17:50:20,0.138s,PASSED
delay(4),Chrome 74.0.3729.157,,2019-05-21 17:50:20,2019-05-21 17:50:24,4.083s,PASSED
"selectOptionByValue(findTestObject(""OCS-MOBILE /Age gate and burger menu/Date""), ""12"", true)",Chrome 74.0.3729.157,,2019-05-21 17:50:24,2019-05-21 17:50:24,0.419s,PASSED
"selectOptionByValue(findTestObject(""OCS-MOBILE /Age gate and burger menu/month""), ""6"", true)",Chrome 74.0.3729.157,,2019-05-21 17:50:24,2019-05-21 17:50:25,0.247s,PASSED
delay(2),Chrome 74.0.3729.157,,2019-05-21 17:50:25,2019-05-21 17:50:27,2.004s,PASSED
"selectOptionByValue(findTestObject(""OCS-MOBILE /Age gate and burger menu/Year Dropdown""), ""1990"", true)",Chrome 74.0.3729.157,,2019-05-21 17:50:27,2019-05-21 17:50:28,1.111s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/button_Verify""))",Chrome 74.0.3729.157,,2019-05-21 17:50:28,2019-05-21 17:50:28,0.120s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Checkbox_CONFIRM AND ACKNOWLEDGE""))",Chrome 74.0.3729.157,,2019-05-21 17:50:28,2019-05-21 17:50:28,0.063s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/button_CONFIRM""))",Chrome 74.0.3729.157,,2019-05-21 17:50:28,2019-05-21 17:50:28,0.084s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/button_Start Browsing""))",Chrome 74.0.3729.157,,2019-05-21 17:50:28,2019-05-21 17:50:28,0.055s,PASSED
delay(2),Chrome 74.0.3729.157,,2019-05-21 17:50:28,2019-05-21 17:50:30,2.006s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Burger menu - English""))",Chrome 74.0.3729.157,,2019-05-21 17:50:30,2019-05-21 17:50:30,0.077s,PASSED
delay(2),Chrome 74.0.3729.157,,2019-05-21 17:50:30,2019-05-21 17:50:32,2.005s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Chevron_Cannabis""))",Chrome 74.0.3729.157,,2019-05-21 17:50:32,2019-05-21 17:50:32,0.079s,PASSED
delay(2),Chrome 74.0.3729.157,,2019-05-21 17:50:32,2019-05-21 17:50:34,2.003s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Dried Flower_Plus icon""))",Chrome 74.0.3729.157,,2019-05-21 17:50:34,2019-05-21 17:50:34,0.063s,PASSED
delay(2),Chrome 74.0.3729.157,,2019-05-21 17:50:34,2019-05-21 17:50:36,2.006s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Indica Dominant_Menu item""))",Chrome 74.0.3729.157,,2019-05-21 17:50:36,2019-05-21 17:50:39,2.453s,PASSED
delay(2),Chrome 74.0.3729.157,,2019-05-21 17:50:39,2019-05-21 17:50:41,2.002s,PASSED
"click(findTestObject(""OCS-MOBILE /Collection page/Product image - 1st one""))",Chrome 74.0.3729.157,,2019-05-21 17:50:41,2019-05-21 17:50:45,3.801s,PASSED
"scrollToElement(findTestObject(""OCS-MOBILE /Product page/Product image""), 1)",Chrome 74.0.3729.157,,2019-05-21 17:50:45,2019-05-21 17:50:45,0.065s,PASSED
delay(2),Chrome 74.0.3729.157,,2019-05-21 17:50:45,2019-05-21 17:50:47,2.006s,PASSED
"click(findTestObject(""OCS-MOBILE /Product page/Swatch_1g""))",Chrome 74.0.3729.157,,2019-05-21 17:50:47,2019-05-21 17:50:47,0.080s,PASSED
"scrollToElement(findTestObject(""OCS-MOBILE /Product page/Swatch_3.5g""), 1)",Chrome 74.0.3729.157,,2019-05-21 17:50:47,2019-05-21 17:50:47,0.026s,PASSED
delay(2),Chrome 74.0.3729.157,,2019-05-21 17:50:47,2019-05-21 17:50:49,2.005s,PASSED
"click(findTestObject(""OCS-MOBILE /Product page/Add to Bag-button""))",Chrome 74.0.3729.157,,2019-05-21 17:50:49,2019-05-21 17:50:49,0.074s,PASSED
delay(2),Chrome 74.0.3729.157,,2019-05-21 17:50:49,2019-05-21 17:50:51,2.004s,PASSED
"setViewPortSize(1000, 800, OPTIONAL)",Chrome 74.0.3729.157,,2019-05-21 17:50:51,2019-05-21 17:50:51,0.120s,PASSED
"delay(2, OPTIONAL)",Chrome 74.0.3729.157,,2019-05-21 17:50:51,2019-05-21 17:50:53,2.008s,PASSED
"click(findTestObject(""Theme_oR/Page_Ontario Cannabis Store  Ontari/button_Hide bar""), OPTIONAL)",Chrome 74.0.3729.157,,2019-05-21 17:50:53,2019-05-21 17:50:53,0.163s,PASSED
"delay(2, OPTIONAL)",Chrome 74.0.3729.157,,2019-05-21 17:50:53,2019-05-21 17:50:55,2.004s,PASSED
"setViewPortSize(360, 800, OPTIONAL)",Chrome 74.0.3729.157,,2019-05-21 17:50:55,2019-05-21 17:50:55,0.111s,PASSED
delay(2),Chrome 74.0.3729.157,,2019-05-21 17:50:55,2019-05-21 17:50:57,2.006s,PASSED
"click(findTestObject(""OCS-MOBILE /Cart flyout/Back icon""))",Chrome 74.0.3729.157,,2019-05-21 17:50:57,2019-05-21 17:50:57,0.115s,PASSED
delay(2),Chrome 74.0.3729.157,,2019-05-21 17:50:57,2019-05-21 17:50:59,2.003s,PASSED
"scrollToElement(findTestObject(""OCS-MOBILE /Product page/Product image""), 1)",Chrome 74.0.3729.157,,2019-05-21 17:50:59,2019-05-21 17:50:59,0.031s,PASSED
delay(2),Chrome 74.0.3729.157,,2019-05-21 17:50:59,2019-05-21 17:51:01,2.004s,PASSED
"flag = verifyElementPresent(findTestObject(""OCS-MOBILE /Product page/Swatch_3.5g""), 0)",Chrome 74.0.3729.157,,2019-05-21 17:51:01,2019-05-21 17:51:02,0.036s,PASSED
"comment("" flag="" + flag)",Chrome 74.0.3729.157,,2019-05-21 17:51:02,2019-05-21 17:51:02,0.004s,PASSED
takeScreenshot(),Chrome 74.0.3729.157,,2019-05-21 17:51:02,2019-05-21 17:51:02,0.391s,PASSED
if (flag == true),Chrome 74.0.3729.157,,2019-05-21 17:51:02,2019-05-21 17:51:38,35.987s,PASSED
,,,,,,
Test Cases/OCS - MOBILE/OCS- CRITICAL PATH/cart flyout- accessories,Chrome 74.0.3729.157,,2019-05-21 17:51:38,2019-05-21 17:52:25,47.466s,PASSED
"openBrowser("""")",Chrome 74.0.3729.157,,2019-05-21 17:51:38,2019-05-21 17:51:39,1.230s,PASSED
"navigateToUrl(""https://ocs.ca/?fts=0&preview_theme_id=53373863756"")",Chrome 74.0.3729.157,,2019-05-21 17:51:39,2019-05-21 17:51:45,5.886s,PASSED
"setViewPortSize(360, 800)",Chrome 74.0.3729.157,,2019-05-21 17:51:45,2019-05-21 17:51:45,0.115s,PASSED
delay(4),Chrome 74.0.3729.157,,2019-05-21 17:51:45,2019-05-21 17:51:49,4.002s,PASSED
"selectOptionByValue(findTestObject(""OCS-MOBILE /Age gate and burger menu/Date""), ""12"", true)",Chrome 74.0.3729.157,,2019-05-21 17:51:49,2019-05-21 17:51:50,0.371s,PASSED
"selectOptionByValue(findTestObject(""OCS-MOBILE /Age gate and burger menu/month""), ""6"", true)",Chrome 74.0.3729.157,,2019-05-21 17:51:50,2019-05-21 17:51:50,0.223s,PASSED
delay(2),Chrome 74.0.3729.157,,2019-05-21 17:51:50,2019-05-21 17:51:52,2.002s,PASSED
"selectOptionByValue(findTestObject(""OCS-MOBILE /Age gate and burger menu/Year Dropdown""), ""1990"", true)",Chrome 74.0.3729.157,,2019-05-21 17:51:52,2019-05-21 17:51:53,1.056s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/button_Verify""))",Chrome 74.0.3729.157,,2019-05-21 17:51:53,2019-05-21 17:51:53,0.076s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Checkbox_CONFIRM AND ACKNOWLEDGE""))",Chrome 74.0.3729.157,,2019-05-21 17:51:53,2019-05-21 17:51:53,0.058s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/button_CONFIRM""))",Chrome 74.0.3729.157,,2019-05-21 17:51:53,2019-05-21 17:51:53,0.064s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/button_Start Browsing""))",Chrome 74.0.3729.157,,2019-05-21 17:51:53,2019-05-21 17:51:53,0.059s,PASSED
delay(2),Chrome 74.0.3729.157,,2019-05-21 17:51:53,2019-05-21 17:51:55,2.002s,PASSED
