Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PRODUCT PAGE,Chrome 74.0.3729.169,,2019-05-22 17:10:15,2019-05-22 17:19:20,9m - 5.045s,FAILED
,,,,,,
Test Cases/OCS - MOBILE/OCS- PRODUCT PAGE/Add to bag CTA,Chrome 74.0.3729.169,,2019-05-22 17:10:15,2019-05-22 17:10:58,42.843s,PASSED
"callTestCase(findTestCase(""OCS - MOBILE/CALL - PDP""), [:], STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-05-22 17:10:15,2019-05-22 17:10:52,36.473s,PASSED
"scrollToElement(findTestObject(""OCS-MOBILE /Product page/Product image""), 1)",Chrome 74.0.3729.169,,2019-05-22 17:10:52,2019-05-22 17:10:52,0.039s,PASSED
delay(2),Chrome 74.0.3729.169,,2019-05-22 17:10:52,2019-05-22 17:10:54,2.002s,PASSED
"click(findTestObject(""OCS-MOBILE /Product page/Swatch_1g""))",Chrome 74.0.3729.169,,2019-05-22 17:10:54,2019-05-22 17:10:54,0.061s,PASSED
"scrollToElement(findTestObject(""OCS-MOBILE /Product page/Swatch_3.5g""), 1)",Chrome 74.0.3729.169,,2019-05-22 17:10:54,2019-05-22 17:10:54,0.024s,PASSED
delay(2),Chrome 74.0.3729.169,,2019-05-22 17:10:54,2019-05-22 17:10:56,2.013s,PASSED
"click(findTestObject(""OCS-MOBILE /Product page/Add to Bag-button""))",Chrome 74.0.3729.169,,2019-05-22 17:10:56,2019-05-22 17:10:56,0.059s,PASSED
delay(1),Chrome 74.0.3729.169,,2019-05-22 17:10:56,2019-05-22 17:10:57,1.005s,PASSED
"verifyElementPresent(findTestObject(""OCS-MOBILE /Cart flyout/Cart - 1st item""), 2)",Chrome 74.0.3729.169,,2019-05-22 17:10:57,2019-05-22 17:10:58,0.543s,PASSED
"click(findTestObject(""OCS-MOBILE /Cart flyout/Back icon""))",Chrome 74.0.3729.169,,2019-05-22 17:10:58,2019-05-22 17:10:58,0.098s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,2019-05-22 17:10:58,2019-05-22 17:10:58,0.169s,PASSED
,,,,,,
Test Cases/OCS - MOBILE/OCS- PRODUCT PAGE/How to choose cannbis products,Chrome 74.0.3729.169,,2019-05-22 17:10:58,2019-05-22 17:11:38,39.687s,PASSED
"callTestCase(findTestCase(""OCS - MOBILE/CALL - PDP""), [:], STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-05-22 17:10:58,2019-05-22 17:11:32,34.122s,PASSED
"scrollToElement(findTestObject(""OCS-MOBILE /Product page/How to choose cannabis product - Section""), 2)",Chrome 74.0.3729.169,,2019-05-22 17:11:32,2019-05-22 17:11:32,0.034s,PASSED
"click(findTestObject(""OCS-MOBILE /Product page/How to choose cannabis product - Button""))",Chrome 74.0.3729.169,,2019-05-22 17:11:32,2019-05-22 17:11:35,3.168s,PASSED
a = getWindowTitle(),Chrome 74.0.3729.169,,2019-05-22 17:11:35,2019-05-22 17:11:35,0.025s,PASSED
"b = ""Factors in Choosing Cannabis Products | Ontario Cannabis Store""",Chrome 74.0.3729.169,,2019-05-22 17:11:35,2019-05-22 17:11:35,0.002s,PASSED
"comment(""WINDOW TITLE IS: "" + a)",Chrome 74.0.3729.169,,2019-05-22 17:11:35,2019-05-22 17:11:35,0.007s,PASSED
if (a == b),Chrome 74.0.3729.169,,2019-05-22 17:11:35,2019-05-22 17:11:35,0.001s,PASSED
back(),Chrome 74.0.3729.169,,2019-05-22 17:11:35,2019-05-22 17:11:38,2.196s,PASSED
,,,,,,
Test Cases/OCS - MOBILE/OCS- PRODUCT PAGE/Learn More,Chrome 74.0.3729.169,,2019-05-22 17:11:38,2019-05-22 17:12:12,34.391s,PASSED
"callTestCase(findTestCase(""OCS - MOBILE/CALL - PDP""), [:], STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-05-22 17:11:38,2019-05-22 17:12:12,33.773s,PASSED
"scrollToElement(findTestObject(""OCS-MOBILE /Product page/Product image""), 1)",Chrome 74.0.3729.169,,2019-05-22 17:12:12,2019-05-22 17:12:12,0.036s,PASSED
"click(findTestObject(""OCS-MOBILE /Product page/Learn More - Link""))",Chrome 74.0.3729.169,,2019-05-22 17:12:12,2019-05-22 17:12:12,0.060s,PASSED
"verifyElementPresent(findTestObject(""OCS-MOBILE /Product page/About Product - Table""), 1)",Chrome 74.0.3729.169,,2019-05-22 17:12:12,2019-05-22 17:12:12,0.016s,PASSED
takeScreenshot(),Chrome 74.0.3729.169,,2019-05-22 17:12:12,2019-05-22 17:12:12,0.388s,PASSED
,,,,,,
Test Cases/OCS - MOBILE/OCS- PRODUCT PAGE/More items to consider,Chrome 74.0.3729.169,,2019-05-22 17:12:12,2019-05-22 17:13:39,1m - 26.490s,PASSED
"callTestCase(findTestCase(""OCS - MOBILE/CALL - PDP""), [:], STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-05-22 17:12:12,2019-05-22 17:12:50,38.047s,PASSED
"scrollToElement(findTestObject(""OCS-MOBILE /Product page/Product image""), 1)",Chrome 74.0.3729.169,,2019-05-22 17:12:50,2019-05-22 17:12:50,0.034s,PASSED
"click(findTestObject(""OCS-MOBILE /Product page/Learn More - Link""))",Chrome 74.0.3729.169,,2019-05-22 17:12:50,2019-05-22 17:12:50,0.070s,PASSED
delay(1),Chrome 74.0.3729.169,,2019-05-22 17:12:50,2019-05-22 17:12:51,1.004s,PASSED
"scrollToElement(findTestObject(""OCS-MOBILE /Product page/Last raw of the table""), 0)",Chrome 74.0.3729.169,,2019-05-22 17:12:51,2019-05-22 17:12:51,0.027s,PASSED
takeScreenshot(),Chrome 74.0.3729.169,,2019-05-22 17:12:51,2019-05-22 17:12:52,0.366s,PASSED
