Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AGE GATE-09-05-2019,Chrome 74.0.3729.131,,2019-05-09 13:02:49,2019-05-09 13:05:21,2m - 32.182s,PASSED
,,,,,,
Test Cases/OCS-AGE GATE/AG- Under Age,Chrome 74.0.3729.131,,2019-05-09 13:02:49,2019-05-09 13:04:08,1m - 18.843s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-09 13:02:50,2019-05-09 13:03:02,12.221s,PASSED
"navigateToUrl(""https://ocs.ca/?fts=0&preview_theme_id=53373863756"")",Chrome 74.0.3729.131,,2019-05-09 13:03:02,2019-05-09 13:03:11,8.532s,PASSED
"click(findTestObject(""Object Repository/Theme_oR/Page_Ontario Cannabis Store  Ontari/button_Close preview""))",Chrome 74.0.3729.131,,2019-05-09 13:03:11,2019-05-09 13:03:14,3.495s,PASSED
"click(findTestObject(""Object Repository/Theme_oR/Page_Ontario Cannabis Store  Ontari/button_Close preview""))",Chrome 74.0.3729.131,,2019-05-09 13:03:14,2019-05-09 13:03:14,0.002s,NOT_RUN
"selectOptionByValue(findTestObject(""Object Repository/OCS_OR/UNDER AGE_OR/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""2"", true)",Chrome 74.0.3729.131,,2019-05-09 13:03:14,2019-05-09 13:03:19,4.503s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/OCS_OR/UNDER AGE_OR/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""4"", true)",Chrome 74.0.3729.131,,2019-05-09 13:03:19,2019-05-09 13:03:21,2.701s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/OCS_OR/UNDER AGE_OR/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152""), ""2017"", true)",Chrome 74.0.3729.131,,2019-05-09 13:03:21,2019-05-09 13:03:35,14.043s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-09 13:03:35,2019-05-09 13:03:37,2.020s,PASSED
"click(findTestObject(""Object Repository/OCS_OR/UNDER AGE_OR/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Chrome 74.0.3729.131,,2019-05-09 13:03:37,2019-05-09 13:03:38,0.610s,PASSED
"click(findTestObject(""Object Repository/OCS_OR/UNDER AGE_OR/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Chrome 74.0.3729.131,,2019-05-09 13:03:38,2019-05-09 13:03:38,0.510s,PASSED
"click(findTestObject(""Object Repository/OCS_OR/UNDER AGE_OR/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Chrome 74.0.3729.131,,2019-05-09 13:03:38,2019-05-09 13:03:39,0.409s,PASSED
