Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
COLLECTION PAGE-09-05-2019,Firefox 65.0,,2019-05-09 14:36:44,2019-05-09 14:48:51,12m - 6.992s,PASSED
,,,,,,
Test Cases/OCS-COLLECTION PAGE/breadcrumbs,Firefox 65.0,,2019-05-09 14:36:44,2019-05-09 14:37:54,1m - 9.710s,PASSED
"openBrowser("""")",Firefox 65.0,,2019-05-09 14:36:45,2019-05-09 14:36:53,8.704s,PASSED
"navigateToUrl(""https://ocs.ca/?fts=0&preview_theme_id=53373863756"")",Firefox 65.0,,2019-05-09 14:36:53,2019-05-09 14:37:00,7.028s,PASSED
"click(findTestObject(""Object Repository/Theme_oR/Page_Ontario Cannabis Store  Ontari/button_Close preview""))",Firefox 65.0,,2019-05-09 14:37:00,2019-05-09 14:37:03,3.045s,PASSED
"selectOptionByValue(findTestObject(""COLLECTION PAGE _OR/breadcrumbs_OR/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""19"", true)",Firefox 65.0,,2019-05-09 14:37:03,2019-05-09 14:37:11,8.014s,PASSED
"selectOptionByValue(findTestObject(""COLLECTION PAGE _OR/breadcrumbs_OR/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""9"", true)",Firefox 65.0,,2019-05-09 14:37:11,2019-05-09 14:37:16,4.810s,PASSED
"selectOptionByValue(findTestObject(""COLLECTION PAGE _OR/breadcrumbs_OR/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152""), ""1949"", true)",Firefox 65.0,,2019-05-09 14:37:16,2019-05-09 14:37:35,18.559s,PASSED
"click(findTestObject(""COLLECTION PAGE _OR/breadcrumbs_OR/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Firefox 65.0,,2019-05-09 14:37:35,2019-05-09 14:37:35,0.601s,PASSED
"click(findTestObject(""COLLECTION PAGE _OR/breadcrumbs_OR/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Firefox 65.0,,2019-05-09 14:37:35,2019-05-09 14:37:36,0.726s,PASSED
"click(findTestObject(""COLLECTION PAGE _OR/breadcrumbs_OR/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Firefox 65.0,,2019-05-09 14:37:36,2019-05-09 14:37:37,0.409s,PASSED
"click(findTestObject(""COLLECTION PAGE _OR/breadcrumbs_OR/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Firefox 65.0,,2019-05-09 14:37:37,2019-05-09 14:37:37,0.723s,PASSED
"click(findTestObject(""COLLECTION PAGE _OR/breadcrumbs_OR/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Firefox 65.0,,2019-05-09 14:37:37,2019-05-09 14:37:37,0.002s,NOT_RUN
"mouseOver(findTestObject(""OCS_CRITICAL PATH/cart flyout- price/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Firefox 65.0,,2019-05-09 14:37:37,2019-05-09 14:37:38,0.324s,PASSED
"click(findTestObject(""COLLECTION PAGE _OR/breadcrumbs_OR/Page_Ontario Cannabis Store  Ontari/span_Dried Flower""))",Firefox 65.0,,2019-05-09 14:37:38,2019-05-09 14:37:44,6.112s,PASSED
"click(findTestObject(""COLLECTION PAGE _OR/breadcrumbs_OR/Page_Dried Flower  Ontario Cannabis/a_Cannabis""))",Firefox 65.0,,2019-05-09 14:37:44,2019-05-09 14:37:49,5.423s,PASSED
a = getWindowTitle(),Firefox 65.0,,2019-05-09 14:37:49,2019-05-09 14:37:49,0.106s,PASSED
comment(a),Firefox 65.0,,2019-05-09 14:37:49,2019-05-09 14:37:49,0.012s,PASSED
assert getWindowTitle() == a,Firefox 65.0,,2019-05-09 14:37:49,2019-05-09 14:37:49,0.115s,PASSED
"click(findTestObject(""COLLECTION PAGE _OR/breadcrumbs_OR/Page_All Cannabis Products  Ontario/a_Home""))",Firefox 65.0,,2019-05-09 14:37:49,2019-05-09 14:37:54,4.480s,PASSED
b = getWindowTitle(),Firefox 65.0,,2019-05-09 14:37:54,2019-05-09 14:37:54,0.092s,PASSED
comment(b),Firefox 65.0,,2019-05-09 14:37:54,2019-05-09 14:37:54,0.001s,PASSED
assert getWindowTitle() == b,Firefox 65.0,,2019-05-09 14:37:54,2019-05-09 14:37:54,0.087s,PASSED
,,,,,,
Test Cases/OCS-COLLECTION PAGE/Chevron dropdown,Firefox 65.0,,2019-05-09 14:37:54,2019-05-09 14:39:11,1m - 16.618s,PASSED
"openBrowser("""")",Firefox 65.0,,2019-05-09 14:37:54,2019-05-09 14:38:05,10.527s,PASSED
"navigateToUrl(""https://ocs.ca/?fts=0&preview_theme_id=53373863756"")",Firefox 65.0,,2019-05-09 14:38:05,2019-05-09 14:38:12,7.479s,PASSED
"click(findTestObject(""Object Repository/Theme_oR/Page_Ontario Cannabis Store  Ontari/button_Close preview""))",Firefox 65.0,,2019-05-09 14:38:12,2019-05-09 14:38:16,4.186s,PASSED
"selectOptionByValue(findTestObject(""COLLECTION PAGE _OR/Chevron_OR/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""18"", true)",Firefox 65.0,,2019-05-09 14:38:16,2019-05-09 14:38:24,7.259s,PASSED
"selectOptionByValue(findTestObject(""COLLECTION PAGE _OR/Chevron_OR/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""9"", true)",Firefox 65.0,,2019-05-09 14:38:24,2019-05-09 14:38:28,4.197s,PASSED
"selectOptionByValue(findTestObject(""COLLECTION PAGE _OR/Chevron_OR/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152""), ""1949"", true)",Firefox 65.0,,2019-05-09 14:38:28,2019-05-09 14:38:53,24.804s,PASSED
"click(findTestObject(""COLLECTION PAGE _OR/Chevron_OR/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Firefox 65.0,,2019-05-09 14:38:53,2019-05-09 14:38:53,0.463s,PASSED
"click(findTestObject(""COLLECTION PAGE _OR/Chevron_OR/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Firefox 65.0,,2019-05-09 14:38:53,2019-05-09 14:38:54,0.560s,PASSED
"click(findTestObject(""COLLECTION PAGE _OR/Chevron_OR/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Firefox 65.0,,2019-05-09 14:38:54,2019-05-09 14:38:54,0.715s,PASSED
"click(findTestObject(""COLLECTION PAGE _OR/Chevron_OR/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Firefox 65.0,,2019-05-09 14:38:54,2019-05-09 14:38:55,0.499s,PASSED
delay(2),Firefox 65.0,,2019-05-09 14:38:55,2019-05-09 14:38:57,2.008s,PASSED
"click(findTestObject(""COLLECTION PAGE _OR/Chevron_OR/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Firefox 65.0,,2019-05-09 14:38:57,2019-05-09 14:38:57,0.001s,NOT_RUN
"mouseOver(findTestObject(""OCS_CRITICAL PATH/cart flyout- price/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Firefox 65.0,,2019-05-09 14:38:57,2019-05-09 14:38:57,0.446s,PASSED
delay(2),Firefox 65.0,,2019-05-09 14:38:57,2019-05-09 14:38:59,2.002s,PASSED
