Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CRITICAL PATH - 09-05-2019,Firefox 66.0,,2019-05-09 12:28:23,2019-05-09 12:37:00,8m - 36.871s,FAILED
,,,,,,
Test Cases/OCS- CRITICAL PATH/Cart,Firefox 66.0,,2019-05-09 12:28:24,2019-05-09 12:29:34,1m - 10.263s,PASSED
"openBrowser("""")",Firefox 66.0,,2019-05-09 12:28:24,2019-05-09 12:28:28,3.345s,PASSED
"navigateToUrl(""https://ocs.ca/?fts=0&preview_theme_id=53373863756"")",Firefox 66.0,,2019-05-09 12:28:28,2019-05-09 12:28:47,19.718s,PASSED
"click(findTestObject(""Object Repository/Theme_oR/Page_Ontario Cannabis Store  Ontari/button_Close preview""))",Firefox 66.0,,2019-05-09 12:28:47,2019-05-09 12:28:48,0.759s,PASSED
maximizeWindow(),Firefox 66.0,,2019-05-09 12:28:48,2019-05-09 12:28:49,0.567s,PASSED
"selectOptionByValue(findTestObject(""OCS_CRITICAL PATH/cart flyout- price/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""17"", true)",Firefox 66.0,,2019-05-09 12:28:49,2019-05-09 12:28:50,1.145s,PASSED
"selectOptionByValue(findTestObject(""OCS_CRITICAL PATH/cart flyout- price/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""8"", true)",Firefox 66.0,,2019-05-09 12:28:50,2019-05-09 12:28:50,0.565s,PASSED
"selectOptionByValue(findTestObject(""OCS_CRITICAL PATH/cart flyout- price/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152""), ""1950"", true)",Firefox 66.0,,2019-05-09 12:28:50,2019-05-09 12:28:52,1.940s,PASSED
"click(findTestObject(""OCS_CRITICAL PATH/cart flyout- price/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Firefox 66.0,,2019-05-09 12:28:52,2019-05-09 12:28:52,0.240s,PASSED
"click(findTestObject(""OCS_CRITICAL PATH/cart flyout- price/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Firefox 66.0,,2019-05-09 12:28:52,2019-05-09 12:28:53,0.258s,PASSED
"click(findTestObject(""OCS_CRITICAL PATH/cart flyout- price/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Firefox 66.0,,2019-05-09 12:28:53,2019-05-09 12:28:53,0.250s,PASSED
"click(findTestObject(""OCS_CRITICAL PATH/cart flyout- price/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Firefox 66.0,,2019-05-09 12:28:53,2019-05-09 12:28:53,0.233s,PASSED
delay(3),Firefox 66.0,,2019-05-09 12:28:53,2019-05-09 12:28:56,3.022s,PASSED
"mouseOver(findTestObject(""OCS_CRITICAL PATH/cart flyout- price/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Firefox 66.0,,2019-05-09 12:28:56,2019-05-09 12:28:56,0.160s,PASSED
delay(3),Firefox 66.0,,2019-05-09 12:28:56,2019-05-09 12:28:59,3.002s,PASSED
"click(findTestObject(""OCS_CRITICAL PATH/cart flyout- price/Page_Ontario Cannabis Store  Ontari/span_Indica Dominant""))",Firefox 66.0,,2019-05-09 12:28:59,2019-05-09 12:29:00,0.574s,PASSED
delay(3),Firefox 66.0,,2019-05-09 12:29:00,2019-05-09 12:29:03,3.002s,PASSED
