Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HOME PAGE - 09-05-2019,Firefox 65.0,,2019-05-09 15:21:00,2019-05-09 15:37:37,16m - 37.661s,FAILED
,,,,,,
Test Cases/OCS- HOME PAGE/Announcement,Firefox 65.0,,2019-05-09 15:21:00,2019-05-09 15:21:59,58.686s,PASSED
"openBrowser("""")",Firefox 65.0,,2019-05-09 15:21:00,2019-05-09 15:21:10,9.815s,PASSED
"navigateToUrl(""https://ocs.ca/?fts=0&preview_theme_id=53373863756"")",Firefox 65.0,,2019-05-09 15:21:10,2019-05-09 15:21:17,6.924s,PASSED
"click(findTestObject(""Object Repository/Theme_oR/Page_Ontario Cannabis Store  Ontari/button_Close preview""))",Firefox 65.0,,2019-05-09 15:21:17,2019-05-09 15:21:20,2.661s,PASSED
maximizeWindow(),Firefox 65.0,,2019-05-09 15:21:20,2019-05-09 15:21:20,0.336s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Announcement_OR/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""1"", true)",Firefox 65.0,,2019-05-09 15:21:20,2019-05-09 15:21:25,4.939s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Announcement_OR/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""0"", true)",Firefox 65.0,,2019-05-09 15:21:25,2019-05-09 15:21:29,3.671s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Announcement_OR/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152""), ""1968"", true)",Firefox 65.0,,2019-05-09 15:21:29,2019-05-09 15:21:52,23.366s,PASSED
delay(2),Firefox 65.0,,2019-05-09 15:21:52,2019-05-09 15:21:54,2.024s,PASSED
"click(findTestObject(""Announcement_OR/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Firefox 65.0,,2019-05-09 15:21:54,2019-05-09 15:21:55,0.586s,PASSED
"click(findTestObject(""Object Repository/Announcement_OR/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Firefox 65.0,,2019-05-09 15:21:55,2019-05-09 15:21:55,0.614s,PASSED
"click(findTestObject(""Object Repository/Announcement_OR/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Firefox 65.0,,2019-05-09 15:21:55,2019-05-09 15:21:56,0.515s,PASSED
"click(findTestObject(""Object Repository/Announcement_OR/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Firefox 65.0,,2019-05-09 15:21:56,2019-05-09 15:21:56,0.534s,PASSED
"flag = verifyTextNotPresent(""Due to holiday closures within the Canada Post network through Good Friday and Easter Monday, please expect some order delivery delays."", false)",Firefox 65.0,,2019-05-09 15:21:56,2019-05-09 15:21:57,1.307s,PASSED
"comment(""flag ="" + flag)",Firefox 65.0,,2019-05-09 15:21:57,2019-05-09 15:21:57,0.005s,PASSED
if (flag == false),Firefox 65.0,,2019-05-09 15:21:57,2019-05-09 15:21:57,0.001s,PASSED
else,Firefox 65.0,,2019-05-09 15:21:57,2019-05-09 15:21:58,0.003s,PASSED
closeBrowser(),Firefox 65.0,,2019-05-09 15:21:58,2019-05-09 15:21:59,1.114s,PASSED
,,,,,,
Test Cases/OCS- HOME PAGE/cart flyout,Firefox 65.0,,2019-05-09 15:21:59,2019-05-09 15:23:20,1m - 21.399s,PASSED
"openBrowser("""")",Firefox 65.0,,2019-05-09 15:21:59,2019-05-09 15:22:17,18.743s,PASSED
delay(4),Firefox 65.0,,2019-05-09 15:22:17,2019-05-09 15:22:22,4.005s,PASSED
"navigateToUrl(""https://ocs.ca/?fts=0&preview_theme_id=53373863756"")",Firefox 65.0,,2019-05-09 15:22:22,2019-05-09 15:22:30,8.047s,PASSED
"click(findTestObject(""Object Repository/Theme_oR/Page_Ontario Cannabis Store  Ontari/button_Close preview""))",Firefox 65.0,,2019-05-09 15:22:30,2019-05-09 15:22:32,2.655s,PASSED
maximizeWindow(),Firefox 65.0,,2019-05-09 15:22:32,2019-05-09 15:22:32,0.121s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/cart flyout_OR/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""1"", true)",Firefox 65.0,,2019-05-09 15:22:32,2019-05-09 15:22:38,5.624s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/cart flyout_OR/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""0"", true)",Firefox 65.0,,2019-05-09 15:22:38,2019-05-09 15:22:41,2.973s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/cart flyout_OR/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152""), ""1968"", true)",Firefox 65.0,,2019-05-09 15:22:41,2019-05-09 15:23:02,20.911s,PASSED
"click(findTestObject(""Object Repository/cart flyout_OR/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Firefox 65.0,,2019-05-09 15:23:02,2019-05-09 15:23:03,0.683s,PASSED
"click(findTestObject(""Object Repository/cart flyout_OR/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Firefox 65.0,,2019-05-09 15:23:03,2019-05-09 15:23:03,0.620s,PASSED
"click(findTestObject(""Object Repository/cart flyout_OR/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Firefox 65.0,,2019-05-09 15:23:03,2019-05-09 15:23:04,0.471s,PASSED
"click(findTestObject(""Object Repository/cart flyout_OR/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Firefox 65.0,,2019-05-09 15:23:04,2019-05-09 15:23:04,0.543s,PASSED
delay(3),Firefox 65.0,,2019-05-09 15:23:04,2019-05-09 15:23:07,3.002s,PASSED
"click(findTestObject(""cart flyout_OR/Page_Ontario Cannabis Store  Ontari/div_00.00""))",Firefox 65.0,,2019-05-09 15:23:07,2019-05-09 15:23:07,0.003s,NOT_RUN
"click(findTestObject(""cart flyout_OR/Page_Ontario Cannabis Store  Ontari/div_00.00""))",Firefox 65.0,,2019-05-09 15:23:07,2019-05-09 15:23:08,0.505s,PASSED
delay(3),Firefox 65.0,,2019-05-09 15:23:08,2019-05-09 15:23:11,3.003s,PASSED
"verifyTextPresent(""Bag"", false)",Firefox 65.0,,2019-05-09 15:23:11,2019-05-09 15:23:12,1.804s,PASSED
if (true),Firefox 65.0,,2019-05-09 15:23:12,2019-05-09 15:23:12,0.001s,PASSED
delay(5),Firefox 65.0,,2019-05-09 15:23:12,2019-05-09 15:23:17,5.002s,PASSED
"click(findTestObject(""cart flyout_OR/Page_Ontario Cannabis Store  Ontari/i_0.00_icon icon--back js-clos""))",Firefox 65.0,,2019-05-09 15:23:17,2019-05-09 15:23:18,0.606s,PASSED
"verifyTextNotPresent(""Bag"", false)",Firefox 65.0,,2019-05-09 15:23:18,2019-05-09 15:23:19,0.924s,PASSED
if (true),Firefox 65.0,,2019-05-09 15:23:19,2019-05-09 15:23:19,0.001s,PASSED
closeBrowser(),Firefox 65.0,,2019-05-09 15:23:19,2019-05-09 15:23:20,1.021s,PASSED
,,,,,,
Test Cases/OCS- HOME PAGE/footer,Firefox 65.0,,2019-05-09 15:23:20,2019-05-09 15:25:22,2m - 1.554s,PASSED
"openBrowser("""")",Firefox 65.0,,2019-05-09 15:23:20,2019-05-09 15:23:32,11.391s,PASSED
"navigateToUrl(""https://ocs.ca/?fts=0&preview_theme_id=53373863756"")",Firefox 65.0,,2019-05-09 15:23:32,2019-05-09 15:23:41,9.804s,PASSED
"click(findTestObject(""Object Repository/Theme_oR/Page_Ontario Cannabis Store  Ontari/button_Close preview""))",Firefox 65.0,,2019-05-09 15:23:41,2019-05-09 15:23:44,3.075s,PASSED
maximizeWindow(),Firefox 65.0,,2019-05-09 15:23:44,2019-05-09 15:23:45,0.136s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Footer_OR/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""1"", true)",Firefox 65.0,,2019-05-09 15:23:45,2019-05-09 15:23:49,4.635s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Footer_OR/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""0"", true)",Firefox 65.0,,2019-05-09 15:23:49,2019-05-09 15:23:52,3.309s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Footer_OR/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152""), ""1968"", true)",Firefox 65.0,,2019-05-09 15:23:52,2019-05-09 15:24:17,24.407s,PASSED
"click(findTestObject(""Object Repository/Footer_OR/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Firefox 65.0,,2019-05-09 15:24:17,2019-05-09 15:24:18,0.692s,PASSED
"click(findTestObject(""Object Repository/Footer_OR/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Firefox 65.0,,2019-05-09 15:24:18,2019-05-09 15:24:18,0.514s,PASSED
"click(findTestObject(""Object Repository/Footer_OR/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Firefox 65.0,,2019-05-09 15:24:18,2019-05-09 15:24:19,0.612s,PASSED
"click(findTestObject(""Object Repository/Footer_OR/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Firefox 65.0,,2019-05-09 15:24:19,2019-05-09 15:24:19,0.512s,PASSED
"click(findTestObject(""Object Repository/Footer_OR/Page_Ontario Cannabis Store  Ontari/a_Return Policy""))",Firefox 65.0,,2019-05-09 15:24:19,2019-05-09 15:24:25,5.545s,PASSED
"click(findTestObject(""Object Repository/Footer_OR/Page_Return Policy  Ontario Cannabi/a_Glossary of Terms""))",Firefox 65.0,,2019-05-09 15:24:25,2019-05-09 15:24:30,4.800s,PASSED
"click(findTestObject(""Object Repository/Footer_OR/Page_Glossary of Terms  Ontario Can/a_Product Recall""))",Firefox 65.0,,2019-05-09 15:24:30,2019-05-09 15:24:35,5.120s,PASSED
"click(findTestObject(""Object Repository/Footer_OR/Page_Product Recall  Ontario Cannab/a_Government of Canada - Canna""))",Firefox 65.0,,2019-05-09 15:24:35,2019-05-09 15:24:35,0.613s,PASSED
"click(findTestObject(""Object Repository/Footer_OR/Page_Product Recall  Ontario Cannab/a_Government of Ontario - Cann""))",Firefox 65.0,,2019-05-09 15:24:35,2019-05-09 15:24:36,0.922s,PASSED
"click(findTestObject(""Object Repository/Footer_OR/Page_Product Recall  Ontario Cannab/a_About the OCS""))",Firefox 65.0,,2019-05-09 15:24:36,2019-05-09 15:24:42,6.150s,PASSED
"click(findTestObject(""Object Repository/Footer_OR/Page_About Us  Ontario Cannabis Sto/a_Careers""))",Firefox 65.0,,2019-05-09 15:24:42,2019-05-09 15:24:48,5.214s,PASSED
"click(findTestObject(""Object Repository/Footer_OR/Page_CAREERS  Ontario Cannabis Stor/a_News""))",Firefox 65.0,,2019-05-09 15:24:48,2019-05-09 15:24:52,4.814s,PASSED
