Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PRODUCT PAGE- 09-05-2019,Firefox 65.0,,2019-05-09 15:40:50,2019-05-09 15:57:23,16m - 33.554s,FAILED
,,,,,,
Test Cases/OCS- PRODUCT PAGE/Add to bag CTA,Firefox 65.0,,2019-05-09 15:40:50,2019-05-09 15:42:30,1m - 39.637s,PASSED
"openBrowser("""")",Firefox 65.0,,2019-05-09 15:40:50,2019-05-09 15:41:19,28.829s,PASSED
"navigateToUrl(""https://ocs.ca/?fts=0&preview_theme_id=53373863756"")",Firefox 65.0,,2019-05-09 15:41:19,2019-05-09 15:41:30,10.908s,PASSED
"click(findTestObject(""Object Repository/Theme_oR/Page_Ontario Cannabis Store  Ontari/button_Close preview""))",Firefox 65.0,,2019-05-09 15:41:30,2019-05-09 15:41:33,2.465s,PASSED
maximizeWindow(),Firefox 65.0,,2019-05-09 15:41:33,2019-05-09 15:41:33,0.397s,PASSED
"selectOptionByValue(findTestObject(""OCS_OR/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""1"", true)",Firefox 65.0,,2019-05-09 15:41:33,2019-05-09 15:41:37,4.298s,PASSED
"selectOptionByValue(findTestObject(""OCS_OR/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""0"", true)",Firefox 65.0,,2019-05-09 15:41:37,2019-05-09 15:41:40,2.731s,PASSED
"selectOptionByValue(findTestObject(""OCS_OR/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152 (1)""), ""1968"", true)",Firefox 65.0,,2019-05-09 15:41:40,2019-05-09 15:41:58,17.527s,PASSED
"click(findTestObject(""OCS_OR/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Firefox 65.0,,2019-05-09 15:41:58,2019-05-09 15:41:58,0.487s,PASSED
"click(findTestObject(""OCS_OR/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Firefox 65.0,,2019-05-09 15:41:58,2019-05-09 15:41:59,0.555s,PASSED
"click(findTestObject(""OCS_OR/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Firefox 65.0,,2019-05-09 15:41:59,2019-05-09 15:41:59,0.509s,PASSED
"click(findTestObject(""OCS_OR/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Firefox 65.0,,2019-05-09 15:41:59,2019-05-09 15:42:00,0.512s,PASSED
"mouseOver(findTestObject(""PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Firefox 65.0,,2019-05-09 15:42:00,2019-05-09 15:42:00,0.002s,NOT_RUN
"mouseOver(findTestObject(""OCS_CRITICAL PATH/cart flyout- price/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Firefox 65.0,,2019-05-09 15:42:00,2019-05-09 15:42:00,0.408s,PASSED
"click(findTestObject(""PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/span_Indica Dominant""))",Firefox 65.0,,2019-05-09 15:42:00,2019-05-09 15:42:04,3.993s,PASSED
delay(3),Firefox 65.0,,2019-05-09 15:42:04,2019-05-09 15:42:07,3.017s,PASSED
"click(findTestObject(""PROD-breadcrumb_OR/Page_Indica Dominant Dried Flower/h3_Shishkaberry""))",Firefox 65.0,,2019-05-09 15:42:07,2019-05-09 15:42:10,3.332s,PASSED
"click(findTestObject(""Object Repository/Add to bag CTA_OR/Page_Shishkaberry  Ontario Cannabis/a_Shishkaberry""))",Firefox 65.0,,2019-05-09 15:42:10,2019-05-09 15:42:10,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/Add to bag CTA_OR/Page_Shishkaberry  Ontario Cannabis/a_Dried Flower""))",Firefox 65.0,,2019-05-09 15:42:10,2019-05-09 15:42:10,0.001s,NOT_RUN
"click(findTestObject(""Page_Dried Flower  Ontario Cannabis/a_Cannabis""))",Firefox 65.0,,2019-05-09 15:42:10,2019-05-09 15:42:10,0.001s,NOT_RUN
"click(findTestObject(""Page_All Cannabis Products  Ontario/a_Home""))",Firefox 65.0,,2019-05-09 15:42:10,2019-05-09 15:42:10,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/Add to bag CTA_OR/Page_Shishkaberry  Ontario Cannabis/label_1g""))",Firefox 65.0,,2019-05-09 15:42:10,2019-05-09 15:42:10,0.001s,NOT_RUN
"click(findTestObject(""price_OR/Page_Shishkaberry  Ontario Cannabis/label_3.5g""))",Firefox 65.0,,2019-05-09 15:42:10,2019-05-09 15:42:11,0.504s,PASSED
"click(findTestObject(""Add to bag CTA_OR/Page_Shishkaberry  Ontario Cannabis/button_Add to Bag32.40""))",Firefox 65.0,,2019-05-09 15:42:11,2019-05-09 15:42:11,0.517s,PASSED
delay(3),Firefox 65.0,,2019-05-09 15:42:11,2019-05-09 15:42:14,3.004s,PASSED
"verifyTextPresent(""Bag"", false)",Firefox 65.0,,2019-05-09 15:42:14,2019-05-09 15:42:28,13.793s,PASSED
"click(findTestObject(""Add to bag CTA_OR/Page_Shishkaberry  Ontario Cannabis/i_32.40_icon icon--back js-clo""))",Firefox 65.0,,2019-05-09 15:42:28,2019-05-09 15:42:29,0.656s,PASSED
closeBrowser(),Firefox 65.0,,2019-05-09 15:42:29,2019-05-09 15:42:30,0.771s,PASSED
,,,,,,
Test Cases/OCS- PRODUCT PAGE/breadcrumb,Firefox 65.0,,2019-05-09 15:42:30,2019-05-09 15:43:52,1m - 22.317s,PASSED
"openBrowser("""")",Firefox 65.0,,2019-05-09 15:42:30,2019-05-09 15:42:47,17.556s,PASSED
"navigateToUrl(""https://ocs.ca/?fts=0&preview_theme_id=53373863756"")",Firefox 65.0,,2019-05-09 15:42:47,2019-05-09 15:42:54,6.405s,PASSED
"click(findTestObject(""Object Repository/Theme_oR/Page_Ontario Cannabis Store  Ontari/button_Close preview""))",Firefox 65.0,,2019-05-09 15:42:54,2019-05-09 15:42:56,2.039s,PASSED
maximizeWindow(),Firefox 65.0,,2019-05-09 15:42:56,2019-05-09 15:42:56,0.443s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""1"", true)",Firefox 65.0,,2019-05-09 15:42:56,2019-05-09 15:43:01,4.718s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""0"", true)",Firefox 65.0,,2019-05-09 15:43:01,2019-05-09 15:43:04,2.635s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152""), ""1968"", true)",Firefox 65.0,,2019-05-09 15:43:04,2019-05-09 15:43:25,21.227s,PASSED
"click(findTestObject(""Object Repository/PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Firefox 65.0,,2019-05-09 15:43:25,2019-05-09 15:43:25,0.467s,PASSED
"click(findTestObject(""Object Repository/PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Firefox 65.0,,2019-05-09 15:43:25,2019-05-09 15:43:26,0.616s,PASSED
"click(findTestObject(""Object Repository/PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Firefox 65.0,,2019-05-09 15:43:26,2019-05-09 15:43:26,0.417s,PASSED
"click(findTestObject(""Object Repository/PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Firefox 65.0,,2019-05-09 15:43:26,2019-05-09 15:43:27,0.434s,PASSED
"mouseOver(findTestObject(""PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Firefox 65.0,,2019-05-09 15:43:27,2019-05-09 15:43:27,0.001s,NOT_RUN
"mouseOver(findTestObject(""OCS_CRITICAL PATH/cart flyout- price/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Firefox 65.0,,2019-05-09 15:43:27,2019-05-09 15:43:27,0.321s,PASSED
"click(findTestObject(""Object Repository/PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/span_Indica Dominant""))",Firefox 65.0,,2019-05-09 15:43:27,2019-05-09 15:43:31,3.845s,PASSED
delay(3),Firefox 65.0,,2019-05-09 15:43:31,2019-05-09 15:43:34,3.006s,PASSED
"click(findTestObject(""PROD-breadcrumb_OR/Page_Indica Dominant Dried Flower/h3_Shishkaberry""))",Firefox 65.0,,2019-05-09 15:43:34,2019-05-09 15:43:38,3.764s,PASSED
"click(findTestObject(""PROD-breadcrumb_OR/Page_Shishkaberry  Ontario Cannabis/a_Shishkaberry""))",Firefox 65.0,,2019-05-09 15:43:38,2019-05-09 15:43:40,2.571s,PASSED
"click(findTestObject(""Object Repository/PROD-breadcrumb_OR/Page_Shishkaberry  Ontario Cannabis/a_Dried Flower""))",Firefox 65.0,,2019-05-09 15:43:40,2019-05-09 15:43:43,2.938s,PASSED
b = getWindowTitle(),Firefox 65.0,,2019-05-09 15:43:43,2019-05-09 15:43:43,0.105s,PASSED
"comment("" b= "" + b)",Firefox 65.0,,2019-05-09 15:43:43,2019-05-09 15:43:43,0.004s,PASSED
assert getWindowTitle() == b,Firefox 65.0,,2019-05-09 15:43:43,2019-05-09 15:43:43,0.109s,PASSED
