Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
STATIC PAGES- 09-05-2019,Chrome 74.0.3729.131,,2019-05-09 14:03:10,2019-05-09 14:06:40,3m - 30.241s,FAILED
,,,,,,
Test Cases/OCS- STATIC PAGE/About,Chrome 74.0.3729.131,,2019-05-09 14:03:10,2019-05-09 14:04:07,57.395s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-09 14:03:10,2019-05-09 14:03:22,11.533s,PASSED
"navigateToUrl(""https://ocs.ca/?fts=0&preview_theme_id=53373863756"")",Chrome 74.0.3729.131,,2019-05-09 14:03:22,2019-05-09 14:03:28,6.295s,PASSED
"click(findTestObject(""Object Repository/Theme_oR/Page_Ontario Cannabis Store  Ontari/button_Close preview""))",Chrome 74.0.3729.131,,2019-05-09 14:03:28,2019-05-09 14:03:31,3.181s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/About static_OR/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""3"", true)",Chrome 74.0.3729.131,,2019-05-09 14:03:31,2019-05-09 14:03:37,5.301s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/About static_OR/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""2"", true)",Chrome 74.0.3729.131,,2019-05-09 14:03:37,2019-05-09 14:03:40,3.190s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/About static_OR/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152""), ""1958"", true)",Chrome 74.0.3729.131,,2019-05-09 14:03:40,2019-05-09 14:04:01,21.070s,PASSED
"click(findTestObject(""Object Repository/About static_OR/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Chrome 74.0.3729.131,,2019-05-09 14:04:01,2019-05-09 14:04:02,0.639s,PASSED
"click(findTestObject(""Object Repository/About static_OR/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Chrome 74.0.3729.131,,2019-05-09 14:04:02,2019-05-09 14:04:02,0.363s,PASSED
"click(findTestObject(""Object Repository/About static_OR/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Chrome 74.0.3729.131,,2019-05-09 14:04:02,2019-05-09 14:04:02,0.310s,PASSED
"click(findTestObject(""Object Repository/About static_OR/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Chrome 74.0.3729.131,,2019-05-09 14:04:02,2019-05-09 14:04:03,0.261s,PASSED
"click(findTestObject(""Object Repository/About static_OR/Page_Ontario Cannabis Store  Ontari/a_About the OCS""))",Chrome 74.0.3729.131,,2019-05-09 14:04:03,2019-05-09 14:04:06,3.674s,PASSED
"click(findTestObject(""About static_OR/Page_About Us  Ontario Cannabis Sto/article_About Us""), STOP_ON_FAILURE)",Chrome 74.0.3729.131,,2019-05-09 14:04:06,2019-05-09 14:04:07,0.317s,PASSED
switchToDefaultContent(),Chrome 74.0.3729.131,,2019-05-09 14:04:07,2019-05-09 14:04:07,0.001s,NOT_RUN
"a = getText(findTestObject(""About static_OR/Page_About Us  Ontario Cannabis Sto/article_About Us""), STOP_ON_FAILURE)",Chrome 74.0.3729.131,,2019-05-09 14:04:07,2019-05-09 14:04:07,0.276s,PASSED
"comment(""a ="" + a)",Chrome 74.0.3729.131,,2019-05-09 14:04:07,2019-05-09 14:04:07,0.015s,PASSED
