Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OCS-1.10.0,Chrome 75.0.3770.80,,2019-06-07 17:14:21,2019-06-07 17:54:57,40m - 35.890s,FAILED
,,,,,,
Test Cases/OCS - MOBILE/OCS- CRITICAL PATH/Cart flyout- increase qty,Chrome 75.0.3770.80,,2019-06-07 17:14:22,2019-06-07 17:15:36,1m - 14.504s,FAILED
"callTestCase(findTestCase(""OCS - MOBILE/CALL - AGE GATE""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.80,,2019-06-07 17:14:22,2019-06-07 17:14:37,15.347s,PASSED
delay(2),Chrome 75.0.3770.80,,2019-06-07 17:14:37,2019-06-07 17:14:39,2.005s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Burger menu - English""))",Chrome 75.0.3770.80,,2019-06-07 17:14:39,2019-06-07 17:14:41,1.845s,PASSED
delay(2),Chrome 75.0.3770.80,,2019-06-07 17:14:41,2019-06-07 17:14:43,2.007s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Chevron_Cannabis""))",Chrome 75.0.3770.80,,2019-06-07 17:14:43,2019-06-07 17:14:43,0.075s,PASSED
delay(2),Chrome 75.0.3770.80,,2019-06-07 17:14:43,2019-06-07 17:14:45,2.006s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Dried Flower_Plus icon""))",Chrome 75.0.3770.80,,2019-06-07 17:14:45,2019-06-07 17:14:45,0.085s,PASSED
delay(2),Chrome 75.0.3770.80,,2019-06-07 17:14:45,2019-06-07 17:14:47,2.004s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Indica Dominant_Menu item""))",Chrome 75.0.3770.80,,2019-06-07 17:14:47,2019-06-07 17:14:49,1.793s,PASSED
delay(2),Chrome 75.0.3770.80,,2019-06-07 17:14:49,2019-06-07 17:14:51,2.005s,PASSED
"click(findTestObject(""OCS-MOBILE /Collection page/Product image - 1st one""))",Chrome 75.0.3770.80,,2019-06-07 17:14:51,2019-06-07 17:14:56,4.368s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Chrome 75.0.3770.80,,2019-06-07 17:14:56,2019-06-07 17:14:56,0.032s,PASSED
"scrollToElement(findTestObject(""OCS-MOBILE /Product page/Product image""), 1)",Chrome 75.0.3770.80,,2019-06-07 17:14:56,2019-06-07 17:14:56,0.001s,NOT_RUN
delay(2),Chrome 75.0.3770.80,,2019-06-07 17:14:56,2019-06-07 17:14:58,2.007s,PASSED
"flag = verifyElementClickable(findTestObject(""OCS-MOBILE /Product page/Swatch_3.5g""))",Chrome 75.0.3770.80,,2019-06-07 17:14:58,2019-06-07 17:14:58,0.052s,PASSED
"comment("" flag ="" + flag)",Chrome 75.0.3770.80,,2019-06-07 17:14:58,2019-06-07 17:14:58,0.006s,PASSED
if (flag == true),Chrome 75.0.3770.80,,2019-06-07 17:14:58,2019-06-07 17:15:00,2.067s,PASSED
"click(findTestObject(""OCS-MOBILE /Product page/Quantity Increase - Button""))",Chrome 75.0.3770.80,,2019-06-07 17:15:00,2019-06-07 17:15:00,0.082s,PASSED
delay(2),Chrome 75.0.3770.80,,2019-06-07 17:15:00,2019-06-07 17:15:02,2.007s,PASSED
"click(findTestObject(""OCS-MOBILE /Product page/Add to Bag-button""))",Chrome 75.0.3770.80,,2019-06-07 17:15:02,2019-06-07 17:15:02,0.090s,PASSED
delay(1),Chrome 75.0.3770.80,,2019-06-07 17:15:02,2019-06-07 17:15:03,1.004s,PASSED
"click(findTestObject(""OCS-MOBILE /Home - page/Cart icon -bag""))",Chrome 75.0.3770.80,,2019-06-07 17:15:03,2019-06-07 17:15:03,0.001s,NOT_RUN
delay(2),Chrome 75.0.3770.80,,2019-06-07 17:15:03,2019-06-07 17:15:05,2.003s,PASSED
"click(findTestObject(""OCS-MOBILE /Cart flyout/Quantity increase - Product""))",Chrome 75.0.3770.80,,2019-06-07 17:15:05,2019-06-07 17:15:36,31.108s,FAILED
,,,,,,
Test Cases/OCS - MOBILE/OCS- CRITICAL PATH/Cart flyout- decrease qty,Chrome 75.0.3770.80,,2019-06-07 17:15:36,2019-06-07 17:16:32,55.508s,PASSED
