Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CRITICAL PATH,Chrome 74.0.3729.131,,2019-05-06 13:11:25,2019-05-06 13:21:52,10m - 26.792s,FAILED
,,,,,,
Test Cases/OCS- CRITICAL PATH/Cart flyout- increase qty,Chrome 74.0.3729.131,,2019-05-06 13:11:25,2019-05-06 13:12:01,35.414s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-06 13:11:26,2019-05-06 13:11:28,2.256s,PASSED
"navigateToUrl(""https://ocs.ca/?fts=0&preview_theme_id=53372913484"")",Chrome 74.0.3729.131,,2019-05-06 13:11:28,2019-05-06 13:11:33,4.864s,PASSED
"click(findTestObject(""Object Repository/Theme_oR/Page_Ontario Cannabis Store  Ontari/button_Close preview""))",Chrome 74.0.3729.131,,2019-05-06 13:11:33,2019-05-06 13:11:36,2.640s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,2019-05-06 13:11:36,2019-05-06 13:11:36,0.232s,PASSED
"selectOptionByValue(findTestObject(""cart flyout_OR/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""18"", true)",Chrome 74.0.3729.131,,2019-05-06 13:11:36,2019-05-06 13:11:36,0.528s,PASSED
"selectOptionByValue(findTestObject(""cart flyout_OR/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""9"", true)",Chrome 74.0.3729.131,,2019-05-06 13:11:36,2019-05-06 13:11:37,0.273s,PASSED
"selectOptionByValue(findTestObject(""cart flyout_OR/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152""), ""1933"", true)",Chrome 74.0.3729.131,,2019-05-06 13:11:37,2019-05-06 13:11:38,1.409s,PASSED
"click(findTestObject(""cart flyout_OR/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Chrome 74.0.3729.131,,2019-05-06 13:11:38,2019-05-06 13:11:38,0.092s,PASSED
"click(findTestObject(""cart flyout_OR/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Chrome 74.0.3729.131,,2019-05-06 13:11:38,2019-05-06 13:11:38,0.088s,PASSED
"click(findTestObject(""cart flyout_OR/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Chrome 74.0.3729.131,,2019-05-06 13:11:38,2019-05-06 13:11:38,0.063s,PASSED
"click(findTestObject(""cart flyout_OR/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Chrome 74.0.3729.131,,2019-05-06 13:11:38,2019-05-06 13:11:38,0.056s,PASSED
"click(findTestObject(""OCS_CRITICAL PATH/Cartflyout-decrease qty _OR/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Chrome 74.0.3729.131,,2019-05-06 13:11:38,2019-05-06 13:11:38,0.072s,PASSED
"click(findTestObject(""OCS_CRITICAL PATH/Cartflyout-decrease qty _OR/Page_Ontario Cannabis Store  Ontari/span_Indica Dominant""))",Chrome 74.0.3729.131,,2019-05-06 13:11:38,2019-05-06 13:11:41,3.095s,PASSED
delay(3),Chrome 74.0.3729.131,,2019-05-06 13:11:41,2019-05-06 13:11:44,3.029s,PASSED
"click(findTestObject(""OCS_CRITICAL PATH/Cartflyout-decrease qty _OR/Page_Indica Dominant Dried Flower/h3_Shishkaberry""))",Chrome 74.0.3729.131,,2019-05-06 13:11:44,2019-05-06 13:11:48,3.427s,PASSED
"click(findTestObject(""OCS_CRITICAL PATH/Cartflyout-decrease qty _OR/Page_Shishkaberry  Ontario Cannabis/div_3.5g""))",Chrome 74.0.3729.131,,2019-05-06 13:11:48,2019-05-06 13:11:48,0.080s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-06 13:11:48,2019-05-06 13:11:50,2.006s,PASSED
"click(findTestObject(""Object Repository/cart flyout_OR/Page_Shishkaberry  Ontario Cannabis/button_""))",Chrome 74.0.3729.131,,2019-05-06 13:11:50,2019-05-06 13:11:50,0.003s,NOT_RUN
"click(findTestObject(""OCS_CRITICAL PATH/Cartflyout-decrease qty _OR/Page_Shishkaberry  Ontario Cannabis/span_Add to Bag""))",Chrome 74.0.3729.131,,2019-05-06 13:11:50,2019-05-06 13:11:50,0.076s,PASSED
"a = getText(findTestObject(""cart flyout_OR/Page_Shishkaberry  Ontario Cannabis/div_129.60 (1)""))",Chrome 74.0.3729.131,,2019-05-06 13:11:50,2019-05-06 13:11:51,1.086s,PASSED
comment(a),Chrome 74.0.3729.131,,2019-05-06 13:11:51,2019-05-06 13:11:51,0.022s,PASSED
b = a.substring(1),Chrome 74.0.3729.131,,2019-05-06 13:11:51,2019-05-06 13:11:51,0.001s,PASSED
comment(b),Chrome 74.0.3729.131,,2019-05-06 13:11:51,2019-05-06 13:11:51,0.001s,PASSED
"setText(findTestObject(""cart flyout_OR/Page_Shishkaberry  Ontario Cannabis/input_-_updates""), ""3"")",Chrome 74.0.3729.131,,2019-05-06 13:11:51,2019-05-06 13:11:51,0.158s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-06 13:11:51,2019-05-06 13:11:53,2.006s,PASSED
"click(findTestObject(""Object Repository/cart flyout_OR/Page_Shishkaberry  Ontario Cannabis/i__icon--plus""))",Chrome 74.0.3729.131,,2019-05-06 13:11:53,2019-05-06 13:11:53,0.063s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-06 13:11:53,2019-05-06 13:11:55,2.004s,PASSED
"click(findTestObject(""Object Repository/cart flyout_OR/Page_Shishkaberry  Ontario Cannabis/i__icon--plus""))",Chrome 74.0.3729.131,,2019-05-06 13:11:55,2019-05-06 13:11:55,0.056s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-06 13:11:55,2019-05-06 13:11:57,2.005s,PASSED
"click(findTestObject(""Object Repository/cart flyout_OR/Page_Shishkaberry  Ontario Cannabis/i__icon--plus""))",Chrome 74.0.3729.131,,2019-05-06 13:11:57,2019-05-06 13:11:58,0.053s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-06 13:11:58,2019-05-06 13:12:00,2.002s,PASSED
"c = getText(findTestObject(""Object Repository/cart flyout_OR/Page_Shishkaberry  Ontario Cannabis/div_129.60 (1)""))",Chrome 74.0.3729.131,,2019-05-06 13:12:00,2019-05-06 13:12:00,0.027s,PASSED
comment(c),Chrome 74.0.3729.131,,2019-05-06 13:12:00,2019-05-06 13:12:00,0.001s,PASSED
d = c.substring(1),Chrome 74.0.3729.131,,2019-05-06 13:12:00,2019-05-06 13:12:00,0.001s,PASSED
comment(d),Chrome 74.0.3729.131,,2019-05-06 13:12:00,2019-05-06 13:12:00,0.001s,PASSED
"verifyNotEqual(""c"", ""d"")",Chrome 74.0.3729.131,,2019-05-06 13:12:00,2019-05-06 13:12:00,0.012s,PASSED
"comment("" price changed . Quantity selector is working"")",Chrome 74.0.3729.131,,2019-05-06 13:12:00,2019-05-06 13:12:00,0.001s,PASSED
