Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HOMEPAGE,Chrome 74.0.3729.131,,2019-05-06 16:25:39,2019-05-06 16:33:13,7m - 34.081s,FAILED
,,,,,,
Test Cases/OCS- HOME PAGE/Toggling language,Chrome 74.0.3729.131,,2019-05-06 16:25:40,2019-05-06 16:26:26,46.597s,FAILED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-06 16:25:40,2019-05-06 16:25:42,2.402s,PASSED
"navigateToUrl(""http://ocs.ca/#/verify-age"")",Chrome 74.0.3729.131,,2019-05-06 16:25:42,2019-05-06 16:25:46,3.771s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,2019-05-06 16:25:46,2019-05-06 16:25:46,0.245s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/language_OR/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""1"", true)",Chrome 74.0.3729.131,,2019-05-06 16:25:46,2019-05-06 16:25:47,0.531s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/language_OR/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""0"", true)",Chrome 74.0.3729.131,,2019-05-06 16:25:47,2019-05-06 16:25:47,0.228s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/language_OR/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152""), ""1968"", true)",Chrome 74.0.3729.131,,2019-05-06 16:25:47,2019-05-06 16:25:49,1.387s,PASSED
"click(findTestObject(""Object Repository/language_OR/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Chrome 74.0.3729.131,,2019-05-06 16:25:49,2019-05-06 16:25:49,0.150s,PASSED
"click(findTestObject(""Object Repository/language_OR/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Chrome 74.0.3729.131,,2019-05-06 16:25:49,2019-05-06 16:25:49,0.074s,PASSED
"click(findTestObject(""Object Repository/language_OR/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Chrome 74.0.3729.131,,2019-05-06 16:25:49,2019-05-06 16:25:49,0.074s,PASSED
"click(findTestObject(""Object Repository/language_OR/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Chrome 74.0.3729.131,,2019-05-06 16:25:49,2019-05-06 16:25:49,0.077s,PASSED
delay(5),Chrome 74.0.3729.131,,2019-05-06 16:25:49,2019-05-06 16:25:54,5.032s,PASSED
"click(findTestObject(""Object Repository/language_OR/Page_Ontario Cannabis Store  Ontari/p_English""))",Chrome 74.0.3729.131,,2019-05-06 16:25:54,2019-05-06 16:26:26,32.179s,FAILED
,,,,,,
Test Cases/OCS- HOME PAGE/HP-Mega menu - Hover-cannabis,Chrome 74.0.3729.131,,2019-05-06 16:26:26,2019-05-06 16:28:14,1m - 48.007s,FAILED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-06 16:26:27,2019-05-06 16:26:28,1.386s,PASSED
"navigateToUrl(""https://ocs.ca/?fts=0&preview_theme_id=53372913484"")",Chrome 74.0.3729.131,,2019-05-06 16:26:28,2019-05-06 16:26:33,5.343s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,2019-05-06 16:26:33,2019-05-06 16:26:34,0.228s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""1"", true)",Chrome 74.0.3729.131,,2019-05-06 16:26:34,2019-05-06 16:26:34,0.500s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""0"", true)",Chrome 74.0.3729.131,,2019-05-06 16:26:34,2019-05-06 16:26:34,0.244s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152""), ""1968"", true)",Chrome 74.0.3729.131,,2019-05-06 16:26:34,2019-05-06 16:26:36,1.300s,PASSED
"click(findTestObject(""Object Repository/mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Chrome 74.0.3729.131,,2019-05-06 16:26:36,2019-05-06 16:26:36,0.098s,PASSED
"click(findTestObject(""Object Repository/mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Chrome 74.0.3729.131,,2019-05-06 16:26:36,2019-05-06 16:26:36,0.066s,PASSED
"click(findTestObject(""Object Repository/mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Chrome 74.0.3729.131,,2019-05-06 16:26:36,2019-05-06 16:26:36,0.080s,PASSED
"click(findTestObject(""Object Repository/mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Chrome 74.0.3729.131,,2019-05-06 16:26:36,2019-05-06 16:26:36,0.120s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-06 16:26:36,2019-05-06 16:26:38,2.003s,PASSED
"click(findTestObject(""mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Chrome 74.0.3729.131,,2019-05-06 16:26:38,2019-05-06 16:26:38,0.103s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-06 16:26:38,2019-05-06 16:26:40,2.003s,PASSED
"click(findTestObject(""mega-menu - cannabis/Page_Dried Flower  Ontario Cannabis/span_Indica Dominant""))",Chrome 74.0.3729.131,,2019-05-06 16:26:40,2019-05-06 16:26:43,2.538s,PASSED
"mouseOver(findTestObject(""mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Chrome 74.0.3729.131,,2019-05-06 16:26:43,2019-05-06 16:26:43,0.093s,PASSED
delay(3),Chrome 74.0.3729.131,,2019-05-06 16:26:43,2019-05-06 16:26:46,3.004s,PASSED
"mouseOver(findTestObject(""mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/span_Dried Flower""))",Chrome 74.0.3729.131,,2019-05-06 16:26:46,2019-05-06 16:26:46,0.045s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-06 16:26:46,2019-05-06 16:26:48,2.007s,PASSED
"click(findTestObject(""mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/span_Dried Flower""))",Chrome 74.0.3729.131,,2019-05-06 16:26:48,2019-05-06 16:26:52,4.024s,PASSED
"mouseOver(findTestObject(""mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Chrome 74.0.3729.131,,2019-05-06 16:26:52,2019-05-06 16:26:52,0.035s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-06 16:26:52,2019-05-06 16:26:54,2.006s,PASSED
"mouseOver(findTestObject(""mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Chrome 74.0.3729.131,,2019-05-06 16:26:54,2019-05-06 16:26:54,0.026s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-06 16:26:54,2019-05-06 16:26:56,2.006s,PASSED
"click(findTestObject(""mega-menu - cannabis/Page_Indica Dominant Dried Flower/span_Sativa Dominant""))",Chrome 74.0.3729.131,,2019-05-06 16:26:56,2019-05-06 16:27:00,4.137s,PASSED
"mouseOver(findTestObject(""mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Chrome 74.0.3729.131,,2019-05-06 16:27:00,2019-05-06 16:27:00,0.098s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-06 16:27:00,2019-05-06 16:27:02,2.009s,PASSED
"click(findTestObject(""mega-menu - cannabis/Page_Sativa Dominant Dried Flower/span_Hybrid""), CONTINUE_ON_FAILURE)",Chrome 74.0.3729.131,,2019-05-06 16:27:02,2019-05-06 16:27:34,31.491s,FAILED
"mouseOver(findTestObject(""mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Chrome 74.0.3729.131,,2019-05-06 16:27:34,2019-05-06 16:27:34,0.032s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-06 16:27:34,2019-05-06 16:27:36,2.014s,PASSED
"click(findTestObject(""mega-menu - cannabis/Page_Hybrid Dried Flower  Ontario C/a_Shop AllDried Flower""))",Chrome 74.0.3729.131,,2019-05-06 16:27:36,2019-05-06 16:27:38,2.392s,PASSED
"mouseOver(findTestObject(""Object Repository/mega-menu - cannabis/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Chrome 74.0.3729.131,,2019-05-06 16:27:38,2019-05-06 16:27:38,0.099s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-06 16:27:38,2019-05-06 16:27:40,2.004s,PASSED
