Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PRODUCT PAGE- 09-05-2019,Chrome 74.0.3729.131,,2019-05-09 11:28:11,2019-05-09 11:34:08,5m - 57.194s,FAILED
,,,,,,
Test Cases/OCS- PRODUCT PAGE/Add to bag CTA,Chrome 74.0.3729.131,,2019-05-09 11:28:11,2019-05-09 11:28:35,23.610s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-09 11:28:11,2019-05-09 11:28:14,2.213s,PASSED
"navigateToUrl(""https://ocs.ca/?fts=0&preview_theme_id=53373863756"")",Chrome 74.0.3729.131,,2019-05-09 11:28:14,2019-05-09 11:28:20,5.961s,PASSED
"click(findTestObject(""Object Repository/Theme_oR/Page_Ontario Cannabis Store  Ontari/button_Close preview""))",Chrome 74.0.3729.131,,2019-05-09 11:28:20,2019-05-09 11:28:21,0.950s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,2019-05-09 11:28:21,2019-05-09 11:28:21,0.233s,PASSED
"selectOptionByValue(findTestObject(""OCS_OR/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""1"", true)",Chrome 74.0.3729.131,,2019-05-09 11:28:21,2019-05-09 11:28:21,0.436s,PASSED
"selectOptionByValue(findTestObject(""OCS_OR/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""0"", true)",Chrome 74.0.3729.131,,2019-05-09 11:28:21,2019-05-09 11:28:21,0.229s,PASSED
"selectOptionByValue(findTestObject(""OCS_OR/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152 (1)""), ""1968"", true)",Chrome 74.0.3729.131,,2019-05-09 11:28:21,2019-05-09 11:28:23,1.274s,PASSED
"click(findTestObject(""OCS_OR/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Chrome 74.0.3729.131,,2019-05-09 11:28:23,2019-05-09 11:28:23,0.086s,PASSED
"click(findTestObject(""OCS_OR/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Chrome 74.0.3729.131,,2019-05-09 11:28:23,2019-05-09 11:28:23,0.060s,PASSED
"click(findTestObject(""OCS_OR/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Chrome 74.0.3729.131,,2019-05-09 11:28:23,2019-05-09 11:28:23,0.061s,PASSED
"click(findTestObject(""OCS_OR/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Chrome 74.0.3729.131,,2019-05-09 11:28:23,2019-05-09 11:28:23,0.054s,PASSED
"mouseOver(findTestObject(""PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Chrome 74.0.3729.131,,2019-05-09 11:28:23,2019-05-09 11:28:23,0.059s,PASSED
"click(findTestObject(""PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/span_Indica Dominant""))",Chrome 74.0.3729.131,,2019-05-09 11:28:23,2019-05-09 11:28:24,0.718s,PASSED
delay(3),Chrome 74.0.3729.131,,2019-05-09 11:28:24,2019-05-09 11:28:27,3.030s,PASSED
"click(findTestObject(""PROD-breadcrumb_OR/Page_Indica Dominant Dried Flower/h3_Shishkaberry""))",Chrome 74.0.3729.131,,2019-05-09 11:28:27,2019-05-09 11:28:30,3.325s,PASSED
"click(findTestObject(""Object Repository/Add to bag CTA_OR/Page_Shishkaberry  Ontario Cannabis/a_Shishkaberry""))",Chrome 74.0.3729.131,,2019-05-09 11:28:30,2019-05-09 11:28:30,0.002s,NOT_RUN
"click(findTestObject(""Object Repository/Add to bag CTA_OR/Page_Shishkaberry  Ontario Cannabis/a_Dried Flower""))",Chrome 74.0.3729.131,,2019-05-09 11:28:30,2019-05-09 11:28:30,0.001s,NOT_RUN
"click(findTestObject(""Page_Dried Flower  Ontario Cannabis/a_Cannabis""))",Chrome 74.0.3729.131,,2019-05-09 11:28:30,2019-05-09 11:28:30,0.003s,NOT_RUN
"click(findTestObject(""Page_All Cannabis Products  Ontario/a_Home""))",Chrome 74.0.3729.131,,2019-05-09 11:28:30,2019-05-09 11:28:30,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/Add to bag CTA_OR/Page_Shishkaberry  Ontario Cannabis/label_1g""))",Chrome 74.0.3729.131,,2019-05-09 11:28:30,2019-05-09 11:28:30,0.001s,NOT_RUN
"click(findTestObject(""price_OR/Page_Shishkaberry  Ontario Cannabis/label_3.5g""))",Chrome 74.0.3729.131,,2019-05-09 11:28:30,2019-05-09 11:28:30,0.083s,PASSED
"click(findTestObject(""Add to bag CTA_OR/Page_Shishkaberry  Ontario Cannabis/button_Add to Bag32.40""))",Chrome 74.0.3729.131,,2019-05-09 11:28:30,2019-05-09 11:28:30,0.112s,PASSED
delay(3),Chrome 74.0.3729.131,,2019-05-09 11:28:30,2019-05-09 11:28:33,3.007s,PASSED
"verifyTextPresent(""Bag"", false)",Chrome 74.0.3729.131,,2019-05-09 11:28:33,2019-05-09 11:28:34,0.957s,PASSED
"click(findTestObject(""Add to bag CTA_OR/Page_Shishkaberry  Ontario Cannabis/i_32.40_icon icon--back js-clo""))",Chrome 74.0.3729.131,,2019-05-09 11:28:34,2019-05-09 11:28:34,0.156s,PASSED
closeBrowser(),Chrome 74.0.3729.131,,2019-05-09 11:28:34,2019-05-09 11:28:35,0.180s,PASSED
,,,,,,
Test Cases/OCS- PRODUCT PAGE/breadcrumb,Chrome 74.0.3729.131,,2019-05-09 11:28:35,2019-05-09 11:29:01,26.490s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-09 11:28:35,2019-05-09 11:28:36,1.166s,PASSED
"navigateToUrl(""https://ocs.ca/?fts=0&preview_theme_id=53373863756"")",Chrome 74.0.3729.131,,2019-05-09 11:28:36,2019-05-09 11:28:39,3.470s,PASSED
"click(findTestObject(""Object Repository/Theme_oR/Page_Ontario Cannabis Store  Ontari/button_Close preview""))",Chrome 74.0.3729.131,,2019-05-09 11:28:39,2019-05-09 11:28:44,4.717s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,2019-05-09 11:28:44,2019-05-09 11:28:44,0.216s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""1"", true)",Chrome 74.0.3729.131,,2019-05-09 11:28:44,2019-05-09 11:28:45,0.302s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""0"", true)",Chrome 74.0.3729.131,,2019-05-09 11:28:45,2019-05-09 11:28:45,0.220s,PASSED
