Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Product page,Chrome 74.0.3729.131,,2019-05-01 13:04:40,2019-05-01 13:10:04,5m - 23.593s,FAILED
,,,,,,
Test Cases/OCS- PRODUCT PAGE/Add to bag CTA,Chrome 74.0.3729.131,,2019-05-01 13:04:41,2019-05-01 13:05:03,22.326s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-01 13:04:41,2019-05-01 13:04:44,2.632s,PASSED
"navigateToUrl(""http://ocs.ca/#/verify-age"")",Chrome 74.0.3729.131,,2019-05-01 13:04:44,2019-05-01 13:04:48,4.146s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,2019-05-01 13:04:48,2019-05-01 13:04:48,0.237s,PASSED
"selectOptionByValue(findTestObject(""OCS_OR/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""1"", true)",Chrome 74.0.3729.131,,2019-05-01 13:04:48,2019-05-01 13:04:48,0.381s,PASSED
"selectOptionByValue(findTestObject(""OCS_OR/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""0"", true)",Chrome 74.0.3729.131,,2019-05-01 13:04:48,2019-05-01 13:04:48,0.202s,PASSED
"selectOptionByValue(findTestObject(""OCS_OR/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152 (1)""), ""1968"", true)",Chrome 74.0.3729.131,,2019-05-01 13:04:48,2019-05-01 13:04:50,1.256s,PASSED
"click(findTestObject(""OCS_OR/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Chrome 74.0.3729.131,,2019-05-01 13:04:50,2019-05-01 13:04:50,0.094s,PASSED
"click(findTestObject(""OCS_OR/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Chrome 74.0.3729.131,,2019-05-01 13:04:50,2019-05-01 13:04:50,0.076s,PASSED
"click(findTestObject(""OCS_OR/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Chrome 74.0.3729.131,,2019-05-01 13:04:50,2019-05-01 13:04:50,0.082s,PASSED
"click(findTestObject(""OCS_OR/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Chrome 74.0.3729.131,,2019-05-01 13:04:50,2019-05-01 13:04:50,0.054s,PASSED
"mouseOver(findTestObject(""PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Chrome 74.0.3729.131,,2019-05-01 13:04:50,2019-05-01 13:04:50,0.065s,PASSED
"click(findTestObject(""PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/span_Indica Dominant""))",Chrome 74.0.3729.131,,2019-05-01 13:04:50,2019-05-01 13:04:52,1.706s,PASSED
delay(3),Chrome 74.0.3729.131,,2019-05-01 13:04:52,2019-05-01 13:04:55,3.023s,PASSED
"click(findTestObject(""PROD-breadcrumb_OR/Page_Indica Dominant Dried Flower/h3_Shishkaberry""))",Chrome 74.0.3729.131,,2019-05-01 13:04:55,2019-05-01 13:04:58,3.644s,PASSED
"click(findTestObject(""Object Repository/Add to bag CTA_OR/Page_Shishkaberry  Ontario Cannabis/a_Shishkaberry""))",Chrome 74.0.3729.131,,2019-05-01 13:04:58,2019-05-01 13:04:58,0.004s,NOT_RUN
"click(findTestObject(""Object Repository/Add to bag CTA_OR/Page_Shishkaberry  Ontario Cannabis/a_Dried Flower""))",Chrome 74.0.3729.131,,2019-05-01 13:04:58,2019-05-01 13:04:58,0.003s,NOT_RUN
"click(findTestObject(""Page_Dried Flower  Ontario Cannabis/a_Cannabis""))",Chrome 74.0.3729.131,,2019-05-01 13:04:58,2019-05-01 13:04:58,0.001s,NOT_RUN
"click(findTestObject(""Page_All Cannabis Products  Ontario/a_Home""))",Chrome 74.0.3729.131,,2019-05-01 13:04:58,2019-05-01 13:04:58,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/Add to bag CTA_OR/Page_Shishkaberry  Ontario Cannabis/label_1g""))",Chrome 74.0.3729.131,,2019-05-01 13:04:58,2019-05-01 13:04:58,0.005s,NOT_RUN
"click(findTestObject(""price_OR/Page_Shishkaberry  Ontario Cannabis/label_3.5g""))",Chrome 74.0.3729.131,,2019-05-01 13:04:58,2019-05-01 13:04:59,0.079s,PASSED
"click(findTestObject(""Add to bag CTA_OR/Page_Shishkaberry  Ontario Cannabis/button_Add to Bag32.40""))",Chrome 74.0.3729.131,,2019-05-01 13:04:59,2019-05-01 13:04:59,0.075s,PASSED
delay(3),Chrome 74.0.3729.131,,2019-05-01 13:04:59,2019-05-01 13:05:02,3.009s,PASSED
"verifyTextPresent(""Bag"", false)",Chrome 74.0.3729.131,,2019-05-01 13:05:02,2019-05-01 13:05:03,0.896s,PASSED
"click(findTestObject(""Add to bag CTA_OR/Page_Shishkaberry  Ontario Cannabis/i_32.40_icon icon--back js-clo""))",Chrome 74.0.3729.131,,2019-05-01 13:05:03,2019-05-01 13:05:03,0.144s,PASSED
closeBrowser(),Chrome 74.0.3729.131,,2019-05-01 13:05:03,2019-05-01 13:05:03,0.216s,PASSED
,,,,,,
Test Cases/OCS- PRODUCT PAGE/Shop all of our products,Chrome 74.0.3729.131,,2019-05-01 13:05:03,2019-05-01 13:05:27,24.533s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-01 13:05:03,2019-05-01 13:05:04,1.051s,PASSED
"navigateToUrl(""https://ocs.ca/#/verify-age"")",Chrome 74.0.3729.131,,2019-05-01 13:05:04,2019-05-01 13:05:08,3.365s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,2019-05-01 13:05:08,2019-05-01 13:05:08,0.215s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/all products_OR/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""16"", true)",Chrome 74.0.3729.131,,2019-05-01 13:05:08,2019-05-01 13:05:08,0.435s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/all products_OR/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""8"", true)",Chrome 74.0.3729.131,,2019-05-01 13:05:08,2019-05-01 13:05:08,0.220s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/all products_OR/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152""), ""1957"", true)",Chrome 74.0.3729.131,,2019-05-01 13:05:08,2019-05-01 13:05:10,1.288s,PASSED
"click(findTestObject(""Object Repository/all products_OR/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Chrome 74.0.3729.131,,2019-05-01 13:05:10,2019-05-01 13:05:10,0.085s,PASSED
"click(findTestObject(""Object Repository/all products_OR/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Chrome 74.0.3729.131,,2019-05-01 13:05:10,2019-05-01 13:05:10,0.066s,PASSED
"click(findTestObject(""Object Repository/all products_OR/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Chrome 74.0.3729.131,,2019-05-01 13:05:10,2019-05-01 13:05:10,0.054s,PASSED
"click(findTestObject(""Object Repository/all products_OR/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Chrome 74.0.3729.131,,2019-05-01 13:05:10,2019-05-01 13:05:10,0.055s,PASSED
delay(3),Chrome 74.0.3729.131,,2019-05-01 13:05:10,2019-05-01 13:05:13,3.005s,PASSED
"click(findTestObject(""Object Repository/all products_OR/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Chrome 74.0.3729.131,,2019-05-01 13:05:13,2019-05-01 13:05:13,0.078s,PASSED
delay(3),Chrome 74.0.3729.131,,2019-05-01 13:05:13,2019-05-01 13:05:16,3.006s,PASSED
"click(findTestObject(""all products_OR/Page_Ontario Cannabis Store  Ontari/span_Indica Dominant""))",Chrome 74.0.3729.131,,2019-05-01 13:05:16,2019-05-01 13:05:19,2.858s,PASSED
delay(3),Chrome 74.0.3729.131,,2019-05-01 13:05:19,2019-05-01 13:05:22,3.002s,PASSED
"click(findTestObject(""Object Repository/all products_OR/Page_Indica Dominant Dried Flower/h3_Shishkaberry""))",Chrome 74.0.3729.131,,2019-05-01 13:05:22,2019-05-01 13:05:25,3.223s,PASSED
"click(findTestObject(""Object Repository/all products_OR/Page_Shishkaberry  Ontario Cannabis/a_Shop all of our products""))",Chrome 74.0.3729.131,,2019-05-01 13:05:25,2019-05-01 13:05:27,2.162s,PASSED
"verifyTextPresent(""All Products"", false)",Chrome 74.0.3729.131,,2019-05-01 13:05:27,2019-05-01 13:05:27,0.140s,PASSED
,,,,,,
Test Cases/OCS- PRODUCT PAGE/Tooltip,Chrome 74.0.3729.131,,2019-05-01 13:05:27,2019-05-01 13:06:00,32.318s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-01 13:05:28,2019-05-01 13:05:29,1.275s,PASSED
"navigateToUrl(""http://ocs.ca/#/verify-age"")",Chrome 74.0.3729.131,,2019-05-01 13:05:29,2019-05-01 13:05:31,1.671s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,2019-05-01 13:05:31,2019-05-01 13:05:31,0.214s,PASSED
"selectOptionByValue(findTestObject(""PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""1"", true)",Chrome 74.0.3729.131,,2019-05-01 13:05:31,2019-05-01 13:05:31,0.394s,PASSED
"selectOptionByValue(findTestObject(""PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""0"", true)",Chrome 74.0.3729.131,,2019-05-01 13:05:31,2019-05-01 13:05:31,0.190s,PASSED
"selectOptionByValue(findTestObject(""PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152""), ""1968"", true)",Chrome 74.0.3729.131,,2019-05-01 13:05:31,2019-05-01 13:05:33,1.200s,PASSED
"click(findTestObject(""PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Chrome 74.0.3729.131,,2019-05-01 13:05:33,2019-05-01 13:05:33,0.082s,PASSED
"click(findTestObject(""PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Chrome 74.0.3729.131,,2019-05-01 13:05:33,2019-05-01 13:05:33,0.061s,PASSED
"click(findTestObject(""PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Chrome 74.0.3729.131,,2019-05-01 13:05:33,2019-05-01 13:05:33,0.055s,PASSED
"click(findTestObject(""PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Chrome 74.0.3729.131,,2019-05-01 13:05:33,2019-05-01 13:05:33,0.077s,PASSED
"mouseOver(findTestObject(""PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/h3_Cannabis""))",Chrome 74.0.3729.131,,2019-05-01 13:05:33,2019-05-01 13:05:33,0.033s,PASSED
"click(findTestObject(""PROD-breadcrumb_OR/Page_Ontario Cannabis Store  Ontari/span_Indica Dominant""))",Chrome 74.0.3729.131,,2019-05-01 13:05:33,2019-05-01 13:05:35,1.682s,PASSED
delay(3),Chrome 74.0.3729.131,,2019-05-01 13:05:35,2019-05-01 13:05:38,3.005s,PASSED
"click(findTestObject(""PROD-breadcrumb_OR/Page_Indica Dominant Dried Flower/h3_Shishkaberry""))",Chrome 74.0.3729.131,,2019-05-01 13:05:38,2019-05-01 13:05:41,3.550s,PASSED
"mouseOver(findTestObject(""Tooltips_OR/Page_Shishkaberry  Ontario Cannabis/i_THC_icon icon--question-mark""))",Chrome 74.0.3729.131,,2019-05-01 13:05:41,2019-05-01 13:05:41,0.032s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-01 13:05:41,2019-05-01 13:05:43,2.002s,PASSED
"click(findTestObject(""Object Repository/Tooltips_OR/Page_Shishkaberry  Ontario Cannabis/i_CBD_icon icon--question-mark""))",Chrome 74.0.3729.131,,2019-05-01 13:05:43,2019-05-01 13:05:43,0.062s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-01 13:05:43,2019-05-01 13:05:45,2.005s,PASSED
"click(findTestObject(""Object Repository/Tooltips_OR/Page_Shishkaberry  Ontario Cannabis/i_Plant Type_icon icon--questi""))",Chrome 74.0.3729.131,,2019-05-01 13:05:45,2019-05-01 13:05:45,0.062s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-01 13:05:45,2019-05-01 13:05:47,2.005s,PASSED
"click(findTestObject(""Object Repository/Tooltips_OR/Page_Shishkaberry  Ontario Cannabis/i_Terpenes_icon icon--question""))",Chrome 74.0.3729.131,,2019-05-01 13:05:47,2019-05-01 13:05:47,0.067s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-01 13:05:47,2019-05-01 13:05:49,2.003s,PASSED
"click(findTestObject(""Object Repository/Tooltips_OR/Page_Shishkaberry  Ontario Cannabis/i_THC_icon icon--question-mark_1""))",Chrome 74.0.3729.131,,2019-05-01 13:05:49,2019-05-01 13:05:49,0.068s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-01 13:05:49,2019-05-01 13:05:51,2.002s,PASSED
"click(findTestObject(""Object Repository/Tooltips_OR/Page_Shishkaberry  Ontario Cannabis/i_CBD_icon icon--question-mark_1""))",Chrome 74.0.3729.131,,2019-05-01 13:05:51,2019-05-01 13:05:51,0.063s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-01 13:05:51,2019-05-01 13:05:53,2.001s,PASSED
"click(findTestObject(""Object Repository/Tooltips_OR/Page_Shishkaberry  Ontario Cannabis/i_Plant_icon icon--question-ma""))",Chrome 74.0.3729.131,,2019-05-01 13:05:53,2019-05-01 13:05:54,0.066s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-01 13:05:54,2019-05-01 13:05:56,2.002s,PASSED
"click(findTestObject(""Object Repository/Tooltips_OR/Page_Shishkaberry  Ontario Cannabis/i_Terpenes_icon icon--question_1""))",Chrome 74.0.3729.131,,2019-05-01 13:05:56,2019-05-01 13:05:56,0.070s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-01 13:05:56,2019-05-01 13:05:58,2.003s,PASSED
"click(findTestObject(""Object Repository/Tooltips_OR/Page_Shishkaberry  Ontario Cannabis/i_GTIN_icon icon--question-mar""))",Chrome 74.0.3729.131,,2019-05-01 13:05:58,2019-05-01 13:05:58,0.069s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-01 13:05:58,2019-05-01 13:06:00,2.008s,PASSED
closeBrowser(),Chrome 74.0.3729.131,,2019-05-01 13:06:00,2019-05-01 13:06:00,0.101s,PASSED
,,,,,,
Test Cases/OCS- PRODUCT PAGE/Show all accessories,Chrome 74.0.3729.131,,2019-05-01 13:06:00,2019-05-01 13:06:14,14.634s,FAILED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-01 13:06:00,2019-05-01 13:06:01,1.158s,PASSED
"navigateToUrl(""https://ocs.ca/#/verify-age"")",Chrome 74.0.3729.131,,2019-05-01 13:06:01,2019-05-01 13:06:04,3.435s,PASSED
