Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"HP, PROD , AG,COLL",Chrome 74.0.3729.169,,2019-05-27 17:44:19,2019-05-27 18:09:23,25m - 4.311s,FAILED
,,,,,,
Test Cases/OCS - MOBILE/OCS-COLLECTION PAGE/Chevron dropdown,Chrome 74.0.3729.169,,2019-05-27 17:44:19,2019-05-27 17:44:55,35.543s,PASSED
"callTestCase(findTestCase(""OCS - MOBILE/CALL - AGE GATE""), [:], STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-05-27 17:44:19,2019-05-27 17:44:37,17.377s,PASSED
delay(2),Chrome 74.0.3729.169,,2019-05-27 17:44:37,2019-05-27 17:44:39,2.016s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Burger menu - English""))",Chrome 74.0.3729.169,,2019-05-27 17:44:39,2019-05-27 17:44:39,0.113s,PASSED
delay(2),Chrome 74.0.3729.169,,2019-05-27 17:44:39,2019-05-27 17:44:41,2.005s,PASSED
"click(findTestObject(""OCS-MOBILE /Cannabis page/Cannabis chevron""))",Chrome 74.0.3729.169,,2019-05-27 17:44:41,2019-05-27 17:44:41,0.075s,PASSED
delay(2),Chrome 74.0.3729.169,,2019-05-27 17:44:41,2019-05-27 17:44:43,2.002s,PASSED
"click(findTestObject(""OCS-MOBILE /Cannabis page/Dried flower - plus accordian""))",Chrome 74.0.3729.169,,2019-05-27 17:44:43,2019-05-27 17:44:43,0.079s,PASSED
delay(2),Chrome 74.0.3729.169,,2019-05-27 17:44:43,2019-05-27 17:44:45,2.005s,PASSED
"click(findTestObject(""OCS-MOBILE /Cannabis page/Dried flower - Indica dominant""))",Chrome 74.0.3729.169,,2019-05-27 17:44:45,2019-05-27 17:44:48,3.354s,PASSED
delay(2),Chrome 74.0.3729.169,,2019-05-27 17:44:48,2019-05-27 17:44:51,2.004s,PASSED
"click(findTestObject(""OCS-MOBILE /Collection page/dropdown""))",Chrome 74.0.3729.169,,2019-05-27 17:44:51,2019-05-27 17:44:51,0.104s,PASSED
delay(2),Chrome 74.0.3729.169,,2019-05-27 17:44:51,2019-05-27 17:44:53,2.006s,PASSED
"verifyElementPresent(findTestObject(""OCS-MOBILE /Collection page/element inside""), 0)",Chrome 74.0.3729.169,,2019-05-27 17:44:53,2019-05-27 17:44:53,0.025s,PASSED
delay(2),Chrome 74.0.3729.169,,2019-05-27 17:44:53,2019-05-27 17:44:55,2.002s,PASSED
"click(findTestObject(""OCS-MOBILE /Collection page/dropdown""))",Chrome 74.0.3729.169,,2019-05-27 17:44:55,2019-05-27 17:44:55,0.068s,PASSED
,,,,,,
Test Cases/OCS - MOBILE/OCS-COLLECTION PAGE/Filter,Chrome 74.0.3729.169,,2019-05-27 17:44:55,2019-05-27 17:48:30,3m - 34.980s,PASSED
"callTestCase(findTestCase(""OCS - MOBILE/CALL - AGE GATE""), [:], STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-05-27 17:44:55,2019-05-27 17:45:10,15.215s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Burger menu - English""))",Chrome 74.0.3729.169,,2019-05-27 17:45:10,2019-05-27 17:45:10,0.146s,PASSED
delay(2),Chrome 74.0.3729.169,,2019-05-27 17:45:10,2019-05-27 17:45:12,2.004s,PASSED
"click(findTestObject(""OCS-MOBILE /Cannabis page/Cannabis chevron""))",Chrome 74.0.3729.169,,2019-05-27 17:45:12,2019-05-27 17:45:13,0.073s,PASSED
delay(1),Chrome 74.0.3729.169,,2019-05-27 17:45:13,2019-05-27 17:45:14,1.011s,PASSED
"click(findTestObject(""OCS-MOBILE /Cannabis page/Dried flower - plus accordian""))",Chrome 74.0.3729.169,,2019-05-27 17:45:14,2019-05-27 17:45:14,0.058s,PASSED
delay(1),Chrome 74.0.3729.169,,2019-05-27 17:45:14,2019-05-27 17:45:15,1.005s,PASSED
"click(findTestObject(""OCS-MOBILE /Cannabis page/Dried flower - Indica dominant""))",Chrome 74.0.3729.169,,2019-05-27 17:45:15,2019-05-27 17:45:17,2.141s,PASSED
delay(1),Chrome 74.0.3729.169,,2019-05-27 17:45:17,2019-05-27 17:45:18,1.005s,PASSED
"click(findTestObject(""OCS-MOBILE /Filter flyout/Filter option""))",Chrome 74.0.3729.169,,2019-05-27 17:45:18,2019-05-27 17:45:18,0.104s,PASSED
delay(2),Chrome 74.0.3729.169,,2019-05-27 17:45:18,2019-05-27 17:45:20,2.006s,PASSED
"click(findTestObject(""OCS-MOBILE /Filter flyout/THC - CBD Tool tip""))",Chrome 74.0.3729.169,,2019-05-27 17:45:20,2019-05-27 17:45:20,0.081s,PASSED
delay(2),Chrome 74.0.3729.169,,2019-05-27 17:45:20,2019-05-27 17:45:22,2.003s,PASSED
"click(findTestObject(""OCS-MOBILE /Filter flyout/THC CBD plus accordian""))",Chrome 74.0.3729.169,,2019-05-27 17:45:22,2019-05-27 17:45:22,0.050s,PASSED
delay(2),Chrome 74.0.3729.169,,2019-05-27 17:45:22,2019-05-27 17:45:24,2.005s,PASSED
"click(findTestObject(""OCS-MOBILE /Filter flyout/THC - CBD Subtract accordian""))",Chrome 74.0.3729.169,,2019-05-27 17:45:24,2019-05-27 17:45:24,0.055s,PASSED
delay(2),Chrome 74.0.3729.169,,2019-05-27 17:45:24,2019-05-27 17:45:26,2.002s,PASSED
"click(findTestObject(""OCS-MOBILE /Filter flyout/THC CBD plus accordian""))",Chrome 74.0.3729.169,,2019-05-27 17:45:26,2019-05-27 17:45:26,0.052s,PASSED
"click(findTestObject(""OCS-MOBILE /Filter flyout/div_18.00""))",Chrome 74.0.3729.169,,2019-05-27 17:45:26,2019-05-27 17:45:26,0.001s,NOT_RUN
delay(2),Chrome 74.0.3729.169,,2019-05-27 17:45:26,2019-05-27 17:45:26,0.000s,NOT_RUN
"click(findTestObject(""OCS-MOBILE /Filter flyout/div_25.00""))",Chrome 74.0.3729.169,,2019-05-27 17:45:26,2019-05-27 17:45:26,0.001s,NOT_RUN
delay(2),Chrome 74.0.3729.169,,2019-05-27 17:45:26,2019-05-27 17:45:26,0.001s,NOT_RUN
"click(findTestObject(""OCS-MOBILE /Filter flyout/div_14.00""))",Chrome 74.0.3729.169,,2019-05-27 17:45:26,2019-05-27 17:45:26,0.000s,NOT_RUN
delay(2),Chrome 74.0.3729.169,,2019-05-27 17:45:26,2019-05-27 17:45:26,0.002s,NOT_RUN
