Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"HP, PROD , AG",Firefox 67.0,,2019-05-27 15:03:00,2019-05-27 15:51:51,48m - 51.765s,FAILED
,,,,,,
Test Cases/OCS - MOBILE/OCS- HOME PAGE/HP- Burger menu- Learn,Firefox 67.0,,2019-05-27 15:03:00,2019-05-27 15:08:21,5m - 20.894s,PASSED
"callTestCase(findTestCase(""OCS - MOBILE/CALL - AGE GATE""), [:], STOP_ON_FAILURE)",Firefox 67.0,,2019-05-27 15:03:00,2019-05-27 15:03:20,19.878s,PASSED
delay(2),Firefox 67.0,,2019-05-27 15:03:20,2019-05-27 15:03:22,2.003s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Burger menu - English""), CONTINUE_ON_FAILURE)",Firefox 67.0,,2019-05-27 15:03:22,2019-05-27 15:03:23,0.266s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Firefox 67.0,,2019-05-27 15:03:23,2019-05-27 15:03:25,2.002s,PASSED
"click(findTestObject(""OCS-MOBILE /LEARN page/Learn chevron""))",Firefox 67.0,,2019-05-27 15:03:25,2019-05-27 15:03:25,0.272s,PASSED
delay(2),Firefox 67.0,,2019-05-27 15:03:25,2019-05-27 15:03:27,2.004s,PASSED
"click(findTestObject(""OCS-MOBILE /LEARN page/How Cannabis Works plus accordian""))",Firefox 67.0,,2019-05-27 15:03:27,2019-05-27 15:03:27,0.251s,PASSED
"click(findTestObject(""OCS-MOBILE /LEARN page/How Cannabis Works Subtract accordian""))",Firefox 67.0,,2019-05-27 15:03:27,2019-05-27 15:03:27,0.250s,PASSED
"click(findTestObject(""OCS-MOBILE /LEARN page/How Cannabis Works plus accordian""))",Firefox 67.0,,2019-05-27 15:03:27,2019-05-27 15:03:28,0.246s,PASSED
"click(findTestObject(""OCS-MOBILE /LEARN page/The Effects of Cannabis Chevron""))",Firefox 67.0,,2019-05-27 15:03:28,2019-05-27 15:03:31,3.476s,PASSED
"verifyTextPresent(""The Effects of Cannabis"", true)",Firefox 67.0,,2019-05-27 15:03:31,2019-05-27 15:03:31,0.361s,PASSED
delay(2),Firefox 67.0,,2019-05-27 15:03:31,2019-05-27 15:03:33,2.005s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Burger menu - English""), CONTINUE_ON_FAILURE)",Firefox 67.0,,2019-05-27 15:03:33,2019-05-27 15:03:34,0.253s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Firefox 67.0,,2019-05-27 15:03:34,2019-05-27 15:03:36,2.004s,PASSED
"click(findTestObject(""OCS-MOBILE /LEARN page/Learn chevron""))",Firefox 67.0,,2019-05-27 15:03:36,2019-05-27 15:03:36,0.289s,PASSED
delay(2),Firefox 67.0,,2019-05-27 15:03:36,2019-05-27 15:03:38,2.001s,PASSED
"click(findTestObject(""OCS-MOBILE /LEARN page/How Cannabis Works plus accordian""))",Firefox 67.0,,2019-05-27 15:03:38,2019-05-27 15:03:38,0.250s,PASSED
delay(1),Firefox 67.0,,2019-05-27 15:03:38,2019-05-27 15:03:39,1.003s,PASSED
"click(findTestObject(""OCS-MOBILE /LEARN page/Endocannabinoids chevron""))",Firefox 67.0,,2019-05-27 15:03:39,2019-05-27 15:03:43,3.646s,PASSED
