Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
critical path,Chrome 74.0.3729.169,,2019-05-24 15:57:15,2019-05-24 16:09:00,11m - 45.240s,FAILED
,,,,,,
Test Cases/OCS - MOBILE/OCS- CRITICAL PATH/Cart,Chrome 74.0.3729.169,,2019-05-24 15:57:15,2019-05-24 15:58:51,1m - 35.408s,PASSED
"callTestCase(findTestCase(""OCS - MOBILE/CALL- SWATCH- NO INVENTORY""), [:], STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-05-24 15:57:16,2019-05-24 15:57:40,24.019s,PASSED
delay(2),Chrome 74.0.3729.169,,2019-05-24 15:57:40,2019-05-24 15:57:42,2.006s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Burger menu - English""))",Chrome 74.0.3729.169,,2019-05-24 15:57:42,2019-05-24 15:57:42,0.003s,NOT_RUN
delay(2),Chrome 74.0.3729.169,,2019-05-24 15:57:42,2019-05-24 15:57:42,0.001s,NOT_RUN
"click(findTestObject(""OCS-MOBILE /Cannabis page/Cannabis chevron""))",Chrome 74.0.3729.169,,2019-05-24 15:57:42,2019-05-24 15:57:42,0.001s,NOT_RUN
delay(2),Chrome 74.0.3729.169,,2019-05-24 15:57:42,2019-05-24 15:57:42,0.001s,NOT_RUN
"click(findTestObject(""OCS-MOBILE /Cannabis page/Dried flower - plus accordian""))",Chrome 74.0.3729.169,,2019-05-24 15:57:42,2019-05-24 15:57:42,0.001s,NOT_RUN
delay(2),Chrome 74.0.3729.169,,2019-05-24 15:57:42,2019-05-24 15:57:42,0.001s,NOT_RUN
"click(findTestObject(""OCS-MOBILE /Cannabis page/Dried flower - Indica dominant""))",Chrome 74.0.3729.169,,2019-05-24 15:57:42,2019-05-24 15:57:42,0.001s,NOT_RUN
delay(2),Chrome 74.0.3729.169,,2019-05-24 15:57:42,2019-05-24 15:57:42,0.001s,NOT_RUN
"click(findTestObject(""OCS-MOBILE /Collection page/Product image - 1st one""))",Chrome 74.0.3729.169,,2019-05-24 15:57:42,2019-05-24 15:57:42,0.001s,NOT_RUN
"scrollToElement(findTestObject(""OCS-MOBILE /Product page/Product image""), 1)",Chrome 74.0.3729.169,,2019-05-24 15:57:42,2019-05-24 15:57:42,0.056s,PASSED
delay(2),Chrome 74.0.3729.169,,2019-05-24 15:57:42,2019-05-24 15:57:44,2.005s,PASSED
"click(findTestObject(""OCS-MOBILE /Product page/Swatch_1g""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-05-24 15:57:44,2019-05-24 15:57:44,0.120s,PASSED
takeScreenshot(),Chrome 74.0.3729.169,,2019-05-24 15:57:44,2019-05-24 15:57:45,0.355s,PASSED
"scrollToElement(findTestObject(""OCS-MOBILE /Product page/Swatch_3.5g""), 1)",Chrome 74.0.3729.169,,2019-05-24 15:57:45,2019-05-24 15:57:45,0.069s,PASSED
delay(2),Chrome 74.0.3729.169,,2019-05-24 15:57:45,2019-05-24 15:57:47,2.006s,PASSED
"click(findTestObject(""OCS-MOBILE /Product page/Add to Bag-button""))",Chrome 74.0.3729.169,,2019-05-24 15:57:47,2019-05-24 15:57:47,0.098s,PASSED
delay(4),Chrome 74.0.3729.169,,2019-05-24 15:57:47,2019-05-24 15:57:51,4.005s,PASSED
"click(findTestObject(""OCS-MOBILE /Cart flyout/Back icon - new model""))",Chrome 74.0.3729.169,,2019-05-24 15:57:51,2019-05-24 15:57:51,0.002s,NOT_RUN
"delay(4, OPTIONAL)",Chrome 74.0.3729.169,,2019-05-24 15:57:51,2019-05-24 15:57:55,4.005s,PASSED
