Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
home page,Firefox 67.0,,2019-05-24 18:43:50,2019-05-24 18:52:44,8m - 53.394s,FAILED
,,,,,,
Test Cases/OCS - MOBILE/OCS- HOME PAGE/Announcement,Firefox 67.0,,2019-05-24 18:43:51,2019-05-24 18:44:23,32.611s,FAILED
"callTestCase(findTestCase(""OCS - MOBILE/CALL - AGE GATE""), [:], STOP_ON_FAILURE)",Firefox 67.0,,2019-05-24 18:43:51,2019-05-24 18:44:15,23.900s,PASSED
"flag = verifyTextPresent(""Due to holiday closures within the Canada Post network for Victoria Day, please expect some order delivery delays."", false, CONTINUE_ON_FAILURE)",Firefox 67.0,,2019-05-24 18:44:15,2019-05-24 18:44:21,6.383s,FAILED
delay(2),Firefox 67.0,,2019-05-24 18:44:21,2019-05-24 18:44:23,2.004s,PASSED
"comment(""flag ="" + flag)",Firefox 67.0,,2019-05-24 18:44:23,2019-05-24 18:44:23,0.010s,PASSED
if (flag == false),Firefox 67.0,,2019-05-24 18:44:23,2019-05-24 18:44:23,0.011s,FAILED
,,,,,,
Test Cases/OCS - MOBILE/OCS- HOME PAGE/cart flyout,Firefox 67.0,,2019-05-24 18:44:23,2019-05-24 18:45:13,49.792s,PASSED
"callTestCase(findTestCase(""OCS - MOBILE/CALL - AGE GATE""), [:], STOP_ON_FAILURE)",Firefox 67.0,,2019-05-24 18:44:23,2019-05-24 18:44:46,22.394s,PASSED
delay(2),Firefox 67.0,,2019-05-24 18:44:46,2019-05-24 18:44:48,2.002s,PASSED
"click(findTestObject(""OCS-MOBILE /Home - page/Cart icon -bag""))",Firefox 67.0,,2019-05-24 18:44:48,2019-05-24 18:44:48,0.264s,PASSED
delay(3),Firefox 67.0,,2019-05-24 18:44:48,2019-05-24 18:44:51,3.005s,PASSED
"verifyTextPresent(""Bag"", false, OPTIONAL)",Firefox 67.0,,2019-05-24 18:44:51,2019-05-24 18:45:02,10.654s,PASSED
if (true),Firefox 67.0,,2019-05-24 18:45:02,2019-05-24 18:45:02,0.002s,PASSED
delay(5),Firefox 67.0,,2019-05-24 18:45:02,2019-05-24 18:45:07,5.016s,PASSED
"click(findTestObject(""OCS-MOBILE /Home - page/Collapse cart flyout""))",Firefox 67.0,,2019-05-24 18:45:07,2019-05-24 18:45:07,0.249s,PASSED
"verifyTextPresent(""Bag"", false, OPTIONAL)",Firefox 67.0,,2019-05-24 18:45:07,2019-05-24 18:45:13,6.019s,PASSED
if (true),Firefox 67.0,,2019-05-24 18:45:13,2019-05-24 18:45:13,0.001s,PASSED
,,,,,,
Test Cases/OCS - MOBILE/OCS- HOME PAGE/footer,Firefox 67.0,,2019-05-24 18:45:13,2019-05-24 18:47:58,2m - 44.498s,PASSED
"callTestCase(findTestCase(""OCS - MOBILE/CALL - AGE GATE""), [:], STOP_ON_FAILURE)",Firefox 67.0,,2019-05-24 18:45:13,2019-05-24 18:45:36,22.647s,PASSED
delay(2),Firefox 67.0,,2019-05-24 18:45:36,2019-05-24 18:45:38,2.003s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Firefox 67.0,,2019-05-24 18:45:38,2019-05-24 18:45:38,0.024s,PASSED
"click(findTestObject(""OCS-MOBILE /Home - page/Return Policy""))",Firefox 67.0,,2019-05-24 18:45:38,2019-05-24 18:45:38,0.077s,PASSED
delay(2),Firefox 67.0,,2019-05-24 18:45:38,2019-05-24 18:45:40,2.006s,PASSED
"setViewPortSize(1000, 800, OPTIONAL)",Firefox 67.0,,2019-05-24 18:45:40,2019-05-24 18:45:41,0.855s,PASSED
"delay(2, OPTIONAL)",Firefox 67.0,,2019-05-24 18:45:41,2019-05-24 18:45:43,2.012s,PASSED
"click(findTestObject(""Theme_oR/Page_Ontario Cannabis Store  Ontari/button_Hide bar""), OPTIONAL)",Firefox 67.0,,2019-05-24 18:45:43,2019-05-24 18:45:43,0.156s,PASSED
"setViewPortSize(360, 800, OPTIONAL)",Firefox 67.0,,2019-05-24 18:45:43,2019-05-24 18:45:43,0.098s,PASSED
"delay(2, OPTIONAL)",Firefox 67.0,,2019-05-24 18:45:43,2019-05-24 18:45:45,2.004s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Firefox 67.0,,2019-05-24 18:45:45,2019-05-24 18:45:45,0.012s,PASSED
"click(findTestObject(""OCS-MOBILE /Home - page/Glossary of terms""))",Firefox 67.0,,2019-05-24 18:45:45,2019-05-24 18:45:48,3.026s,PASSED
delay(2),Firefox 67.0,,2019-05-24 18:45:48,2019-05-24 18:45:50,2.005s,PASSED
"setViewPortSize(1000, 800, OPTIONAL)",Firefox 67.0,,2019-05-24 18:45:50,2019-05-24 18:45:50,0.080s,PASSED
"delay(2, OPTIONAL)",Firefox 67.0,,2019-05-24 18:45:50,2019-05-24 18:45:52,2.005s,PASSED
"click(findTestObject(""Theme_oR/Page_Ontario Cannabis Store  Ontari/button_Hide bar""), OPTIONAL)",Firefox 67.0,,2019-05-24 18:45:52,2019-05-24 18:45:52,0.124s,PASSED
