Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
STATIC PAGES- 09-05-2019,Chrome 74.0.3729.131,,2019-05-09 11:44:09,2019-05-09 11:45:03,53.978s,FAILED
,,,,,,
Test Cases/OCS- STATIC PAGE/About,Chrome 74.0.3729.131,,2019-05-09 11:44:09,2019-05-09 11:44:23,14.106s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-09 11:44:09,2019-05-09 11:44:12,2.281s,PASSED
"navigateToUrl(""https://ocs.ca/?fts=0&preview_theme_id=53373863756"")",Chrome 74.0.3729.131,,2019-05-09 11:44:12,2019-05-09 11:44:17,4.784s,PASSED
"click(findTestObject(""Object Repository/Theme_oR/Page_Ontario Cannabis Store  Ontari/button_Close preview""))",Chrome 74.0.3729.131,,2019-05-09 11:44:17,2019-05-09 11:44:18,1.115s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/About static_OR/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""3"", true)",Chrome 74.0.3729.131,,2019-05-09 11:44:18,2019-05-09 11:44:18,0.385s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/About static_OR/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""2"", true)",Chrome 74.0.3729.131,,2019-05-09 11:44:18,2019-05-09 11:44:18,0.202s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/About static_OR/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152""), ""1958"", true)",Chrome 74.0.3729.131,,2019-05-09 11:44:18,2019-05-09 11:44:20,1.286s,PASSED
"click(findTestObject(""Object Repository/About static_OR/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Chrome 74.0.3729.131,,2019-05-09 11:44:20,2019-05-09 11:44:20,0.082s,PASSED
"click(findTestObject(""Object Repository/About static_OR/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Chrome 74.0.3729.131,,2019-05-09 11:44:20,2019-05-09 11:44:20,0.059s,PASSED
"click(findTestObject(""Object Repository/About static_OR/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Chrome 74.0.3729.131,,2019-05-09 11:44:20,2019-05-09 11:44:20,0.065s,PASSED
"click(findTestObject(""Object Repository/About static_OR/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Chrome 74.0.3729.131,,2019-05-09 11:44:20,2019-05-09 11:44:20,0.059s,PASSED
"click(findTestObject(""Object Repository/About static_OR/Page_Ontario Cannabis Store  Ontari/a_About the OCS""))",Chrome 74.0.3729.131,,2019-05-09 11:44:20,2019-05-09 11:44:23,3.122s,PASSED
"click(findTestObject(""About static_OR/Page_About Us  Ontario Cannabis Sto/article_About Us""), STOP_ON_FAILURE)",Chrome 74.0.3729.131,,2019-05-09 11:44:23,2019-05-09 11:44:23,0.080s,PASSED
switchToDefaultContent(),Chrome 74.0.3729.131,,2019-05-09 11:44:23,2019-05-09 11:44:23,0.003s,NOT_RUN
"a = getText(findTestObject(""About static_OR/Page_About Us  Ontario Cannabis Sto/article_About Us""), STOP_ON_FAILURE)",Chrome 74.0.3729.131,,2019-05-09 11:44:23,2019-05-09 11:44:23,0.054s,PASSED
"comment(""a ="" + a)",Chrome 74.0.3729.131,,2019-05-09 11:44:23,2019-05-09 11:44:23,0.017s,PASSED
"verifyTextPresent(a, false, STOP_ON_FAILURE)",Chrome 74.0.3729.131,,2019-05-09 11:44:23,2019-05-09 11:44:23,0.177s,PASSED
"click(findTestObject(""Object Repository/About static_OR/Page_About Us  Ontario Cannabis Sto/h1_About Us""))",Chrome 74.0.3729.131,,2019-05-09 11:44:23,2019-05-09 11:44:23,0.002s,NOT_RUN
"click(findTestObject(""Object Repository/About static_OR/Page_About Us  Ontario Cannabis Sto/p_The Ontario Cannabis Store p""))",Chrome 74.0.3729.131,,2019-05-09 11:44:23,2019-05-09 11:44:23,0.001s,NOT_RUN
,,,,,,
Test Cases/OCS- STATIC PAGE/Accessibility,Chrome 74.0.3729.131,,2019-05-09 11:44:23,2019-05-09 11:44:35,11.592s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-09 11:44:24,2019-05-09 11:44:25,1.342s,PASSED
"navigateToUrl(""https://ocs.ca/?fts=0&preview_theme_id=53373863756"")",Chrome 74.0.3729.131,,2019-05-09 11:44:25,2019-05-09 11:44:29,4.463s,PASSED
"click(findTestObject(""Object Repository/Theme_oR/Page_Ontario Cannabis Store  Ontari/button_Close preview""))",Chrome 74.0.3729.131,,2019-05-09 11:44:29,2019-05-09 11:44:30,0.885s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/accessibility_OR/Page_Ontario Cannabis Store  Ontari/select_Select01020304050607080""), ""4"", true)",Chrome 74.0.3729.131,,2019-05-09 11:44:30,2019-05-09 11:44:31,0.336s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/accessibility_OR/Page_Ontario Cannabis Store  Ontari/select_SelectJanuary - 01Febru""), ""5"", true)",Chrome 74.0.3729.131,,2019-05-09 11:44:31,2019-05-09 11:44:31,0.229s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/accessibility_OR/Page_Ontario Cannabis Store  Ontari/select_Select20182017201620152""), ""1996"", true)",Chrome 74.0.3729.131,,2019-05-09 11:44:31,2019-05-09 11:44:32,0.999s,PASSED
"click(findTestObject(""Object Repository/accessibility_OR/Page_Ontario Cannabis Store  Ontari/button_Verify""))",Chrome 74.0.3729.131,,2019-05-09 11:44:32,2019-05-09 11:44:32,0.083s,PASSED
"click(findTestObject(""Object Repository/accessibility_OR/Page_Ontario Cannabis Store  Ontari/span_CONFIRM AND ACKNOWLEDGE_c""))",Chrome 74.0.3729.131,,2019-05-09 11:44:32,2019-05-09 11:44:32,0.067s,PASSED
"click(findTestObject(""Object Repository/accessibility_OR/Page_Ontario Cannabis Store  Ontari/button_CONFIRM""))",Chrome 74.0.3729.131,,2019-05-09 11:44:32,2019-05-09 11:44:32,0.057s,PASSED
"click(findTestObject(""Object Repository/accessibility_OR/Page_Ontario Cannabis Store  Ontari/button_Start Browsing""))",Chrome 74.0.3729.131,,2019-05-09 11:44:32,2019-05-09 11:44:32,0.052s,PASSED
