Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
recordings - ( 1.10.2 ),Chrome 76.0.3809.25,,2019-06-19 15:37:00,2019-06-19 16:45:02,1h - 8m - 2.530s,FAILED
,,,,,,
Test Cases/OCS - MOBILE/OCS- CRITICAL PATH/Cart flyout- increase qty,Chrome 76.0.3809.25,,2019-06-19 15:37:00,2019-06-19 15:38:26,1m - 25.476s,PASSED
"callTestCase(findTestCase(""OCS - MOBILE/CALL - AGE GATE""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 15:37:01,2019-06-19 15:37:44,43.187s,PASSED
delay(2),Chrome 76.0.3809.25,,2019-06-19 15:37:44,2019-06-19 15:37:46,2.003s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Burger menu - English""))",Chrome 76.0.3809.25,,2019-06-19 15:37:46,2019-06-19 15:37:46,0.262s,PASSED
delay(2),Chrome 76.0.3809.25,,2019-06-19 15:37:46,2019-06-19 15:37:48,2.005s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Chevron_Cannabis""))",Chrome 76.0.3809.25,,2019-06-19 15:37:48,2019-06-19 15:37:48,0.268s,PASSED
delay(2),Chrome 76.0.3809.25,,2019-06-19 15:37:48,2019-06-19 15:37:50,2.005s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Dried Flower_Plus icon""))",Chrome 76.0.3809.25,,2019-06-19 15:37:50,2019-06-19 15:37:51,0.245s,PASSED
delay(2),Chrome 76.0.3809.25,,2019-06-19 15:37:51,2019-06-19 15:37:53,2.016s,PASSED
"click(findTestObject(""OCS-MOBILE /Age gate and burger menu/Indica Dominant_Menu item""))",Chrome 76.0.3809.25,,2019-06-19 15:37:53,2019-06-19 15:37:56,3.107s,PASSED
delay(2),Chrome 76.0.3809.25,,2019-06-19 15:37:56,2019-06-19 15:37:58,2.011s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Chrome 76.0.3809.25,,2019-06-19 15:37:58,2019-06-19 15:37:58,0.155s,PASSED
"click(findTestObject(""OCS-MOBILE /Collection page/Product image - 1st one""))",Chrome 76.0.3809.25,,2019-06-19 15:37:58,2019-06-19 15:38:02,3.687s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Chrome 76.0.3809.25,,2019-06-19 15:38:02,2019-06-19 15:38:02,0.082s,PASSED
"scrollToElement(findTestObject(""OCS-MOBILE /Product page/Product image""), 1)",Chrome 76.0.3809.25,,2019-06-19 15:38:02,2019-06-19 15:38:02,0.002s,NOT_RUN
delay(2),Chrome 76.0.3809.25,,2019-06-19 15:38:02,2019-06-19 15:38:04,2.004s,PASSED
"flag = verifyElementClickable(findTestObject(""OCS-MOBILE /Product page/Swatch_3.5g""))",Chrome 76.0.3809.25,,2019-06-19 15:38:04,2019-06-19 15:38:04,0.186s,PASSED
"comment("" flag ="" + flag)",Chrome 76.0.3809.25,,2019-06-19 15:38:04,2019-06-19 15:38:04,0.003s,PASSED
if (flag == true),Chrome 76.0.3809.25,,2019-06-19 15:38:04,2019-06-19 15:38:06,2.256s,PASSED
"click(findTestObject(""OCS-MOBILE /Product page/Quantity Increase - Button""))",Chrome 76.0.3809.25,,2019-06-19 15:38:06,2019-06-19 15:38:06,0.294s,PASSED
delay(2),Chrome 76.0.3809.25,,2019-06-19 15:38:06,2019-06-19 15:38:08,2.005s,PASSED
"click(findTestObject(""OCS-MOBILE /Product page/Add to Bag-button""))",Chrome 76.0.3809.25,,2019-06-19 15:38:08,2019-06-19 15:38:09,0.263s,PASSED
